record_id,event_date,project_name,service_name,gcp_region,environment,owning_team,signal_category,metric_a,metric_b,metric_c,metric_d,risk_score,cost_anomaly
gcp-cost-021-00054,2026-02-23,project-17,pubsub,global,staging,finops,cost,65.927,9.445,0.116,130.822,68.251,1
gcp-cost-021-00055,2026-02-24,project-03,gke,global,prod,platform,cost,90.4,10.768,0.486,82.077,85.745,1
gcp-cost-021-00056,2026-02-25,project-10,compute,asia-south1,prod,security,quality,62.719,13.054,0.431,149.613,89.315,1
gcp-cost-021-00057,2026-02-26,project-24,bigquery,us-east1,prod,backend,security,97.272,9.504,0.784,185.621,100,1
gcp-cost-021-00058,2026-02-27,project-17,compute,us-central1,staging,data,security,41.347,10.223,0.427,135.15,72.979,0
gcp-cost-021-00059,2026-02-28,project-14,gke,europe-west1,staging,finops,latency,41.929,4.955,0.738,92.044,65.49,0
gcp-cost-021-00060,2026-03-01,project-19,cloud-run,us-east1,dev,platform,cost,31.399,10.246,0.616,94.459,70.232,1
gcp-cost-021-00061,2026-03-02,project-13,bigquery,europe-west1,sandbox,mlops,cost,52.157,9.69,0.534,144.788,80.67,1
gcp-cost-021-00062,2026-03-03,project-15,vertex-ai,global,prod,finops,latency,42.105,13.721,0.671,93.199,83.829,1
gcp-cost-021-00063,2026-03-04,project-03,cloud-sql,europe-west1,prod,data,cost,68.629,18.28,0.333,192.666,100,1
gcp-cost-021-00064,2026-03-05,project-15,gke,us-east1,staging,backend,cost,63.521,6.468,0.594,47.268,65.008,0
gcp-cost-021-00065,2026-03-06,project-12,gke,us-east1,prod,finops,reliability,78.001,6.517,0.774,150.407,91.531,1
gcp-cost-021-00066,2026-03-07,project-21,vertex-ai,us-east1,prod,data,quality,18.068,12.852,0.618,23.255,61.333,0
gcp-cost-021-00067,2026-03-08,project-14,cloud-sql,us-east1,dev,mlops,reliability,45.116,9.824,0.216,97.602,60.507,0
gcp-cost-021-00068,2026-03-09,project-18,gke,asia-south1,prod,platform,latency,84.552,8.634,0.88,96.642,94.633,1
gcp-cost-021-00069,2026-03-10,project-11,vertex-ai,europe-west1,staging,data,latency,49.87,9.278,0.397,59.352,61.654,1
gcp-cost-021-00070,2026-03-11,project-04,cloud-run,global,prod,data,quality,84.059,23.783,0.964,48.245,100,1
gcp-cost-021-00071,2026-03-12,project-12,cloud-sql,us-central1,dev,security,reliability,8.452,9.114,0.553,1.802,43.842,0
gcp-cost-021-00072,2026-03-13,project-07,cloud-run,global,staging,security,latency,73.032,6.628,0.641,179.468,89.634,1
gcp-cost-021-00073,2026-03-14,project-19,vertex-ai,global,prod,finops,latency,71.703,12.827,0.457,184.044,97.86,1
gcp-cost-021-00074,2026-03-15,project-19,cloud-sql,us-east1,sandbox,data,security,41.655,8.087,0.274,122.813,60.949,1
gcp-cost-021-00075,2026-03-16,project-02,cloud-sql,asia-south1,prod,security,reliability,85.566,5.995,0.445,87.602,72.287,0
gcp-cost-021-00076,2026-03-17,project-23,bigquery,europe-west1,prod,mlops,quality,78.441,8.822,0.297,96.145,72.455,0
gcp-cost-021-00077,2026-03-18,project-11,pubsub,asia-south1,prod,backend,reliability,32.543,5.111,0.433,114.559,55.177,0
gcp-cost-021-00078,2026-03-19,project-10,pubsub,asia-south1,prod,backend,reliability,53.104,10.459,0.941,63.17,85.138,1
gcp-cost-021-00079,2026-03-20,project-22,pubsub,us-east1,prod,platform,reliability,77.788,14.536,0.742,99.992,100,1
gcp-cost-021-00080,2026-03-21,project-09,pubsub,europe-west1,dev,security,latency,46.883,11.218,0.72,100.069,82.378,1
gcp-cost-021-00081,2026-03-22,project-08,vertex-ai,global,prod,finops,quality,49.964,8.982,0.31,153.554,71.689,1
gcp-cost-021-00082,2026-03-23,project-15,compute,europe-west1,dev,mlops,security,43.455,10.148,0.783,99.612,80.82,1
gcp-cost-021-00083,2026-03-24,project-04,bigquery,us-east1,prod,platform,quality,75.134,5.818,0.714,187.805,92.25,1
gcp-cost-021-00084,2026-03-25,project-09,cloud-run,us-east1,dev,data,quality,57.812,17.645,0.243,113.088,86.403,1
gcp-cost-021-00085,2026-03-26,project-02,cloud-run,us-east1,prod,security,quality,84.283,15.107,0.656,19.55,90.56,1
gcp-cost-021-00086,2026-03-27,project-17,compute,us-east1,dev,platform,security,16.433,5.706,0.417,156.369,56.464,1
gcp-cost-021-00087,2026-03-28,project-05,compute,us-central1,prod,data,quality,74.825,9.917,0.508,94.008,80.818,1
gcp-cost-021-00088,2026-03-29,project-14,vertex-ai,global,dev,security,security,40.218,12.885,0.588,214.048,95.937,1
gcp-cost-021-00089,2026-03-30,project-18,cloud-run,europe-west1,sandbox,backend,reliability,39.656,12.471,0.786,138.353,90.665,1
gcp-cost-021-00090,2026-03-31,project-23,bigquery,us-east1,staging,mlops,latency,11.081,16.785,0.898,198.919,100,1
gcp-cost-021-00091,2026-04-01,project-17,cloud-sql,asia-south1,dev,data,quality,20.825,14.563,0.419,157.205,78.86,1
gcp-cost-021-00092,2026-04-02,project-04,bigquery,global,prod,data,latency,74.666,10.611,0.876,142.182,100,1
gcp-cost-021-00093,2026-04-03,project-19,vertex-ai,europe-west1,dev,platform,quality,45.707,7.775,0.582,36.413,59.819,0
gcp-cost-021-00094,2026-04-04,project-21,gke,global,staging,data,latency,16.121,16.076,0.305,162.078,77.464,1
gcp-cost-021-00095,2026-04-05,project-04,pubsub,global,staging,finops,cost,40.729,8.046,0.626,141.91,75.634,1
gcp-cost-021-00096,2026-04-06,project-16,compute,europe-west1,dev,security,cost,31.553,19.522,0.566,63.867,85.719,1
gcp-cost-021-00097,2026-04-07,project-18,cloud-sql,europe-west1,staging,mlops,cost,53.132,10.266,0.422,192.122,85.338,1
gcp-cost-021-00098,2026-04-08,project-10,pubsub,us-east1,dev,mlops,security,58.055,9.944,0.584,30.518,68.412,0
gcp-cost-021-00099,2026-04-09,project-14,cloud-sql,global,staging,platform,cost,67.727,9.885,0.594,98.884,81.98,1
gcp-cost-021-00100,2026-04-10,project-18,cloud-run,europe-west1,sandbox,finops,security,51.268,6.992,0.849,144.492,85.045,1
gcp-cost-021-00101,2026-04-11,project-11,cloud-sql,us-east1,dev,data,reliability,37.151,8.921,0.454,155.679,72.412,1
gcp-cost-021-00102,2026-04-12,project-04,vertex-ai,us-east1,dev,backend,security,63.498,9.732,0.231,146.999,74.455,1
gcp-cost-021-00103,2026-04-13,project-03,pubsub,us-east1,staging,data,cost,43.851,7.883,0.574,283.902,95.234,1
gcp-cost-021-00104,2026-04-14,project-10,gke,us-east1,prod,platform,cost,66.457,5.651,0.539,116.624,72.318,1
gcp-cost-021-00105,2026-04-15,project-05,vertex-ai,us-east1,dev,finops,quality,35.661,10.645,0.697,66.04,71.346,1
gcp-cost-021-00106,2026-04-16,project-12,compute,us-east1,prod,mlops,latency,40.07,11.0,0.771,145.454,87.888,1
gcp-cost-021-00107,2026-04-17,project-18,pubsub,us-east1,dev,mlops,cost,44.16,16.131,0.087,155.723,78.85,1
gcp-cost-021-00108,2026-04-18,project-24,compute,global,dev,finops,cost,20.459,3.972,0.511,191.21,62.198,1
gcp-cost-021-00109,2026-04-19,project-23,cloud-sql,us-east1,staging,backend,reliability,59.53,6.956,0.305,32.689,52.508,0
gcp-cost-021-00110,2026-04-20,project-24,cloud-sql,us-east1,sandbox,platform,security,68.251,3.67,0.708,39.183,62.945,1
gcp-cost-021-00111,2026-04-21,project-06,gke,asia-south1,prod,security,security,39.626,13.144,0.56,22.976,67.489,0
gcp-cost-021-00112,2026-04-22,project-02,gke,us-east1,prod,mlops,security,63.434,16.242,0.772,112.294,100,1
gcp-cost-021-00113,2026-04-23,project-15,bigquery,europe-west1,prod,data,latency,58.602,10.679,0.823,118.974,91.584,1
gcp-cost-021-00114,2026-04-24,project-21,bigquery,asia-south1,prod,data,reliability,44.644,3.614,0.621,162.812,69.536,1
gcp-cost-021-00115,2026-04-25,project-20,compute,us-central1,dev,mlops,cost,19.571,13.572,0.711,67.108,73.189,1
gcp-cost-021-00116,2026-04-26,project-16,bigquery,us-east1,prod,platform,quality,55.802,20.139,0.361,24.882,82.785,1
gcp-cost-021-00117,2026-04-27,project-04,compute,asia-south1,prod,platform,security,82.383,17.945,0.451,75.131,97.447,1
gcp-cost-021-00118,2026-04-28,project-02,compute,asia-south1,dev,finops,latency,16.269,6.805,0.68,94.824,59.201,1
gcp-cost-021-00119,2026-04-29,project-15,bigquery,europe-west1,staging,data,latency,64.664,8.335,0.836,190.732,99.156,1
gcp-cost-021-00120,2026-04-30,project-13,pubsub,global,staging,security,cost,46.742,12.651,0.651,191.77,96.63,1
gcp-cost-021-00121,2026-05-01,project-17,bigquery,asia-south1,staging,mlops,quality,39.606,6.954,0.783,98.154,71.807,1
gcp-cost-021-00122,2026-05-02,project-16,compute,europe-west1,sandbox,finops,cost,46.686,5.424,0.588,84.527,61.903,0
gcp-cost-021-00123,2026-05-03,project-20,vertex-ai,europe-west1,prod,finops,latency,63.401,8.847,0.685,110.581,82.935,1
gcp-cost-021-00124,2026-05-04,project-11,bigquery,us-central1,staging,platform,cost,33.95,9.135,0.473,133.351,69.2,1
gcp-cost-021-00125,2026-05-05,project-21,pubsub,us-central1,sandbox,finops,security,44.384,8.934,0.564,128.148,74.809,1
gcp-cost-021-00126,2026-05-06,project-20,cloud-sql,asia-south1,dev,platform,quality,70.38,3.461,0.642,178.103,81.152,1
gcp-cost-021-00127,2026-05-07,project-05,pubsub,us-east1,prod,data,security,81.118,12.671,0.476,32.28,79.324,1
gcp-cost-021-00128,2026-05-08,project-24,gke,us-east1,prod,mlops,reliability,60.595,10.999,0.74,66.682,82.497,1
gcp-cost-021-00129,2026-05-09,project-07,compute,asia-south1,dev,platform,quality,41.037,8.973,0.781,130.449,81.659,1
gcp-cost-021-00130,2026-05-10,project-01,cloud-run,europe-west1,prod,mlops,latency,46.46,7.464,0.693,103.549,73.033,0
gcp-cost-021-00131,2026-05-11,project-18,vertex-ai,us-central1,prod,mlops,reliability,50.268,5.398,0.556,150.16,71.547,0
gcp-cost-021-00132,2026-05-12,project-21,compute,us-east1,prod,mlops,reliability,72.983,10.855,0.723,92.948,89.732,1
gcp-cost-021-00133,2026-05-13,project-01,pubsub,global,prod,data,reliability,89.741,3.79,0.415,94.709,68.589,0
gcp-cost-021-00134,2026-05-14,project-07,gke,europe-west1,prod,data,latency,47.91,8.461,0.801,126.653,83.016,1
gcp-cost-021-00135,2026-05-15,project-05,cloud-run,global,dev,data,security,22.952,12.755,0.794,155.417,88.25,1
gcp-cost-021-00136,2026-05-16,project-02,cloud-run,us-east1,prod,mlops,latency,44.761,14.634,0.457,149.537,87.615,1
gcp-cost-021-00137,2026-05-17,project-09,pubsub,europe-west1,dev,data,cost,30.51,9.693,0.738,177.594,85.025,1
gcp-cost-021-00138,2026-05-18,project-04,cloud-run,asia-south1,prod,data,security,51.549,4.471,0.25,155.072,59.839,0
gcp-cost-021-00139,2026-05-19,project-19,cloud-run,europe-west1,staging,platform,cost,33.746,15.065,0.384,155.663,83.104,1
gcp-cost-021-00140,2026-05-20,project-04,pubsub,us-east1,prod,data,reliability,45.474,8.239,0.765,83.526,74.096,1
gcp-cost-021-00141,2026-05-21,project-15,pubsub,global,dev,data,quality,12.882,10.261,0.454,166.761,68.66,0
gcp-cost-021-00142,2026-05-22,project-23,gke,us-east1,prod,platform,latency,76.975,7.219,0.624,220.99,97.853,1
gcp-cost-021-00143,2026-05-23,project-03,compute,europe-west1,prod,finops,latency,63.133,12.945,0.468,0.0,68.682,1
gcp-cost-021-00144,2026-05-24,project-19,cloud-run,global,sandbox,security,reliability,80.776,10.555,0.446,187.869,95.907,1
gcp-cost-021-00145,2026-05-25,project-06,vertex-ai,global,sandbox,mlops,quality,17.767,12.001,0.177,88.048,53.256,0
gcp-cost-021-00146,2026-05-26,project-19,vertex-ai,europe-west1,prod,mlops,security,79.368,14.755,0.567,222.406,100,1
gcp-cost-021-00147,2026-05-27,project-07,vertex-ai,global,prod,security,cost,70.442,7.239,0.736,184.983,94.282,1
gcp-cost-021-00148,2026-05-28,project-09,cloud-sql,us-central1,sandbox,platform,security,36.732,8.226,0.626,97.794,68.222,1
gcp-cost-021-00149,2026-05-29,project-06,gke,global,prod,platform,latency,77.429,9.169,0.469,139.624,85.271,1
gcp-cost-021-00150,2026-05-30,project-14,bigquery,asia-south1,sandbox,platform,quality,35.94,24.047,0.459,12.909,86.636,1
gcp-cost-021-00151,2026-05-31,project-20,pubsub,europe-west1,sandbox,data,quality,36.622,6.984,0.531,114.865,64.45,0
gcp-cost-021-00152,2026-06-01,project-01,cloud-sql,us-central1,sandbox,mlops,quality,37.123,26.539,0.58,196.832,100,1
gcp-cost-021-00153,2026-06-02,project-22,vertex-ai,us-central1,staging,data,security,78.312,15.326,0.545,86.187,94.814,1
gcp-cost-021-00154,2026-06-03,project-10,vertex-ai,global,prod,platform,cost,66.09,18.386,0.7,55.212,98.584,1
gcp-cost-021-00155,2026-06-04,project-08,cloud-sql,global,staging,backend,cost,52.032,7.852,0.334,59.227,56.86,0
gcp-cost-021-00156,2026-06-05,project-07,bigquery,europe-west1,sandbox,mlops,security,47.758,4.959,0.656,147.467,72.752,0
gcp-cost-021-00157,2026-06-06,project-06,vertex-ai,global,dev,mlops,security,67.725,10.316,0.457,173.735,89.106,1
gcp-cost-021-00158,2026-06-07,project-20,vertex-ai,global,staging,mlops,latency,33.708,14.756,0.703,177.001,96.646,1
gcp-cost-021-00159,2026-06-08,project-10,compute,us-central1,sandbox,backend,latency,16.044,9.159,0.644,180.756,75.887,1
gcp-cost-021-00160,2026-06-09,project-16,compute,us-east1,staging,finops,security,36.889,8.208,0.94,98.725,79.361,1
gcp-cost-021-00161,2026-06-10,project-18,compute,global,prod,finops,quality,54.525,6.646,0.867,48.645,72.03,1
gcp-cost-021-00162,2026-06-11,project-11,compute,global,prod,finops,security,88.656,7.987,0.452,124.981,83.712,1
gcp-cost-021-00163,2026-06-12,project-09,gke,us-central1,dev,finops,quality,65.74,7.776,0.564,189.117,88.473,1
gcp-cost-021-00164,2026-06-13,project-15,gke,global,dev,platform,quality,57.868,4.581,0.805,138.885,79.372,1
gcp-cost-021-00165,2026-06-14,project-03,vertex-ai,us-east1,prod,platform,reliability,51.307,18.051,0.588,70.753,90.975,1
gcp-cost-021-00166,2026-06-15,project-15,pubsub,asia-south1,prod,platform,security,63.323,8.583,0.271,103.332,66.744,0
gcp-cost-021-00167,2026-06-16,project-02,cloud-run,global,sandbox,platform,quality,32.309,9.51,0.237,42.024,47.922,0
gcp-cost-021-00168,2026-06-17,project-05,gke,europe-west1,dev,finops,reliability,29.141,13.708,0.601,54.523,71.171,1
gcp-cost-021-00169,2026-06-18,project-01,cloud-run,europe-west1,prod,mlops,latency,116.682,15.42,0.455,66.653,100,1
gcp-cost-021-00170,2026-06-19,project-02,gke,us-east1,dev,finops,latency,68.319,6.195,0.369,257.571,88.844,1
gcp-cost-021-00171,2026-06-20,project-19,bigquery,us-east1,dev,finops,security,36.801,9.486,0.875,227.964,98.884,1
gcp-cost-021-00172,2026-06-21,project-17,compute,us-central1,prod,backend,quality,19.191,9.577,0.813,20.422,60.496,0
gcp-cost-021-00173,2026-06-22,project-18,vertex-ai,global,dev,finops,reliability,49.875,8.531,0.368,211.903,81.144,1
gcp-cost-021-00174,2026-06-23,project-03,cloud-sql,us-east1,prod,backend,cost,74.131,8.404,0.578,141.037,86.353,1
gcp-cost-021-00175,2026-06-24,project-19,gke,asia-south1,dev,data,security,48.888,11.738,0.594,149.43,87.081,1
gcp-cost-021-00176,2026-06-25,project-14,gke,asia-south1,staging,platform,latency,65.852,10.78,0.572,164.364,92.191,1
gcp-cost-021-00177,2026-06-26,project-13,vertex-ai,us-east1,dev,mlops,latency,21.02,6.547,0.436,150.456,59.835,0
gcp-cost-021-00178,2026-06-27,project-22,gke,global,staging,finops,security,45.536,10.051,0.757,199.996,95.051,1
gcp-cost-021-00179,2026-06-28,project-18,gke,global,prod,security,quality,51.307,3.975,0.479,57.61,52.399,0
gcp-cost-021-00180,2026-06-29,project-15,bigquery,asia-south1,staging,backend,latency,72.88,13.387,0.483,146.9,95.072,1
gcp-cost-021-00181,2026-01-01,project-15,gke,global,staging,mlops,reliability,53.354,5.433,0.655,154.028,76.738,1
gcp-cost-021-00182,2026-01-02,project-14,vertex-ai,europe-west1,dev,finops,quality,37.488,12.987,0.279,102.729,68.17,1
gcp-cost-021-00183,2026-01-03,project-08,bigquery,us-east1,staging,backend,latency,39.906,5.959,0.533,65.69,56.106,0
gcp-cost-021-00184,2026-01-04,project-10,gke,asia-south1,sandbox,security,reliability,57.869,7.892,0.774,28.784,69.956,0
gcp-cost-021-00185,2026-01-05,project-22,vertex-ai,europe-west1,dev,data,cost,28.761,5.483,0.724,65.912,57.812,0
gcp-cost-021-00186,2026-01-06,project-24,compute,us-central1,sandbox,finops,cost,26.545,8.978,0.708,47.668,61.971,0
gcp-cost-021-00187,2026-01-07,project-14,cloud-run,global,staging,backend,latency,74.08,5.063,0.623,103.608,74.656,1
gcp-cost-021-00188,2026-01-08,project-09,bigquery,us-central1,dev,mlops,latency,54.494,13.37,0.652,146.657,94.477,1
gcp-cost-021-00189,2026-01-09,project-24,cloud-run,us-east1,prod,finops,cost,71.966,7.039,0.113,115.627,62.43,1
gcp-cost-021-00190,2026-01-10,project-20,cloud-sql,europe-west1,prod,backend,security,78.693,14.798,0.662,135.883,100,1
gcp-cost-021-00191,2026-01-11,project-23,cloud-sql,asia-south1,prod,platform,cost,44.246,8.231,0.858,108.437,80.535,1
gcp-cost-021-00192,2026-01-12,project-15,gke,us-central1,prod,data,cost,55.648,4.407,0.696,125.486,72.42,0
gcp-cost-021-00193,2026-01-13,project-21,cloud-sql,europe-west1,staging,finops,latency,36.117,12.982,0.507,91.847,74.072,0
gcp-cost-021-00194,2026-01-14,project-13,pubsub,europe-west1,staging,mlops,reliability,73.159,10.39,0.36,50.68,69.84,0
gcp-cost-021-00195,2026-01-15,project-19,gke,us-central1,prod,data,reliability,68.563,16.491,0.379,152.584,97.993,1
gcp-cost-021-00196,2026-01-16,project-14,bigquery,europe-west1,staging,backend,security,10.743,8.692,0.429,5.772,39.898,0
gcp-cost-021-00197,2026-01-17,project-13,gke,us-east1,staging,data,cost,73.303,8.404,0.583,159.832,88.979,1
gcp-cost-021-00198,2026-01-18,project-20,cloud-sql,global,sandbox,data,cost,38.598,15.732,0.651,177.839,98.937,1
gcp-cost-021-00199,2026-01-19,project-03,cloud-sql,asia-south1,prod,data,quality,74.75,7.758,0.725,105.649,85.047,1
gcp-cost-021-00200,2026-01-20,project-15,pubsub,asia-south1,dev,security,latency,69.159,4.931,0.386,122.112,67.029,1
gcp-cost-021-00201,2026-01-21,project-07,pubsub,us-east1,prod,security,reliability,74.623,9.5,0.439,148.214,85.264,1
gcp-cost-021-00202,2026-01-22,project-13,cloud-run,asia-south1,sandbox,platform,cost,60.398,12.798,0.797,85.059,91.301,1
gcp-cost-021-00203,2026-01-23,project-03,compute,asia-south1,dev,finops,reliability,68.533,7.229,0.443,40.917,62.326,0
gcp-cost-021-00204,2026-01-24,project-17,gke,us-central1,prod,data,cost,86.838,4.498,0.884,97.983,86.118,1
gcp-cost-021-00205,2026-01-25,project-24,pubsub,us-east1,dev,backend,quality,58.489,5.569,0.709,41.998,64.405,0
gcp-cost-021-00206,2026-01-26,project-10,cloud-sql,global,staging,finops,cost,44.489,13.672,0.473,140.882,84.573,1
gcp-cost-021-00207,2026-01-27,project-20,bigquery,global,staging,backend,latency,53.085,21.899,0.122,179.787,100,1
gcp-cost-021-00208,2026-01-28,project-13,bigquery,global,staging,mlops,reliability,9.389,28.075,0.362,25.486,85.181,1
gcp-cost-021-00209,2026-01-29,project-16,compute,europe-west1,dev,backend,security,41.21,9.049,0.265,95.698,58.769,0
gcp-cost-021-00210,2026-01-30,project-22,vertex-ai,europe-west1,dev,finops,reliability,52.571,15.085,0.621,119.103,92.702,1
gcp-cost-021-00211,2026-01-31,project-11,vertex-ai,europe-west1,prod,finops,cost,89.839,23.279,0.631,76.277,100,1
gcp-cost-021-00212,2026-02-01,project-08,cloud-sql,asia-south1,dev,security,quality,26.223,17.594,0.7,127.871,93.379,1
gcp-cost-021-00213,2026-02-02,project-04,bigquery,asia-south1,prod,security,security,83.41,7.306,0.481,180.161,89.349,1
gcp-cost-021-00214,2026-02-03,project-19,compute,asia-south1,staging,platform,cost,42.3,5.152,0.477,170.829,68.434,1
gcp-cost-021-00215,2026-02-04,project-06,cloud-run,us-central1,prod,backend,quality,96.223,5.23,0.527,90.783,77.566,1
gcp-cost-021-00216,2026-02-05,project-06,compute,us-central1,prod,finops,latency,62.863,12.981,0.247,154.172,83.419,1
gcp-cost-021-00217,2026-02-06,project-08,compute,global,prod,platform,quality,54.524,10.485,0.691,202.552,97.272,1
