record_id,event_date,project_name,service_name,gcp_region,environment,owning_team,signal_category,metric_a,metric_b,metric_c,metric_d,risk_score,budget_breach
finops-budget-079-00020,2026-01-20,project-20,cloud-sql,us-east1,prod,platform,cost,64.395,20.497,0.374,253.224,100,1
finops-budget-079-00021,2026-01-21,project-01,pubsub,asia-south1,dev,platform,latency,79.661,4.674,0.412,142.637,74.009,1
finops-budget-079-00022,2026-01-22,project-05,bigquery,us-east1,prod,finops,security,65.956,8.614,0.595,102.495,78.956,1
finops-budget-079-00023,2026-01-23,project-07,vertex-ai,asia-south1,sandbox,mlops,cost,41.608,7.575,0.596,96.709,67.201,0
finops-budget-079-00024,2026-01-24,project-22,bigquery,asia-south1,dev,data,reliability,63.776,6.369,0.604,94.663,72.128,1
finops-budget-079-00025,2026-01-25,project-06,compute,europe-west1,prod,mlops,security,78.172,6.273,0.445,157.351,80.519,1
finops-budget-079-00026,2026-01-26,project-05,cloud-run,global,prod,backend,security,66.093,14.215,0.677,153.008,100,1
finops-budget-079-00027,2026-01-27,project-21,cloud-sql,europe-west1,prod,mlops,latency,46.837,21.975,0.787,12.115,96.98,1
finops-budget-079-00028,2026-01-28,project-17,cloud-run,global,staging,data,cost,43.597,6.179,0.791,154.128,79.839,1
finops-budget-079-00029,2026-01-29,project-12,compute,asia-south1,sandbox,finops,cost,48.118,9.916,0.488,89.903,70.169,0
finops-budget-079-00030,2026-01-30,project-22,bigquery,asia-south1,staging,data,reliability,32.392,13.515,0.489,182.588,86.615,1
finops-budget-079-00031,2026-01-31,project-21,vertex-ai,europe-west1,prod,mlops,security,66.382,13.872,0.523,116.331,90.872,1
finops-budget-079-00032,2026-02-01,project-24,compute,us-central1,prod,mlops,security,73.713,12.061,0.633,103.539,91.196,1
finops-budget-079-00033,2026-02-02,project-06,bigquery,us-east1,prod,backend,latency,62.587,7.143,0.041,232.693,73.942,0
finops-budget-079-00034,2026-02-03,project-20,vertex-ai,europe-west1,dev,backend,security,32.966,15.009,0.722,145.318,93.021,1
finops-budget-079-00035,2026-02-04,project-22,gke,us-central1,prod,security,quality,70.636,7.081,0.716,126.644,84.774,1
finops-budget-079-00036,2026-02-05,project-07,compute,asia-south1,staging,data,security,19.451,11.752,0.771,114.102,77.854,1
finops-budget-079-00037,2026-02-06,project-24,pubsub,europe-west1,prod,platform,reliability,85.27,9.439,0.652,56.083,82.868,1
finops-budget-079-00038,2026-02-07,project-21,gke,asia-south1,sandbox,mlops,quality,22.935,5.015,0.847,91.111,62.661,1
finops-budget-079-00039,2026-02-08,project-23,bigquery,us-central1,staging,security,cost,37.662,9.584,0.487,125.251,70.855,1
finops-budget-079-00040,2026-02-09,project-03,cloud-sql,us-east1,sandbox,data,cost,31.124,14.719,0.884,113.723,92.762,1
finops-budget-079-00041,2026-02-10,project-06,cloud-sql,us-central1,prod,platform,latency,72.014,13.47,0.222,99.309,78.887,1
finops-budget-079-00042,2026-02-11,project-01,bigquery,europe-west1,dev,platform,reliability,50.797,12.847,0.134,74.818,63.356,0
finops-budget-079-00043,2026-02-12,project-15,bigquery,asia-south1,staging,platform,latency,64.044,5.365,0.661,184.64,84.995,1
finops-budget-079-00044,2026-02-13,project-04,cloud-run,asia-south1,prod,data,quality,79.757,12.87,0.699,105.672,97.82,1
finops-budget-079-00045,2026-02-14,project-16,compute,global,sandbox,platform,latency,75.834,14.331,0.389,117.382,90.714,1
finops-budget-079-00046,2026-02-15,project-16,vertex-ai,global,dev,data,reliability,37.834,19.978,1.093,77.317,100,1
finops-budget-079-00047,2026-02-16,project-14,vertex-ai,asia-south1,staging,platform,security,42.894,10.659,0.383,177.088,79.114,1
finops-budget-079-00048,2026-02-17,project-10,cloud-sql,global,sandbox,mlops,latency,41.062,3.337,0.501,159.73,62.987,1
finops-budget-079-00049,2026-02-18,project-08,bigquery,global,sandbox,data,latency,43.609,9.279,0.367,96.887,63.889,0
finops-budget-079-00050,2026-02-19,project-06,gke,global,prod,data,quality,70.224,12.31,0.476,142.865,90.796,1
finops-budget-079-00051,2026-02-20,project-14,bigquery,asia-south1,staging,finops,quality,51.019,10.41,0.446,87.926,70.579,0
finops-budget-079-00052,2026-02-21,project-21,gke,us-central1,prod,platform,quality,92.903,11.908,0.717,136.29,100,1
finops-budget-079-00053,2026-02-22,project-07,gke,us-east1,dev,security,cost,55.286,14.309,0.185,100.406,73.855,1
finops-budget-079-00054,2026-02-23,project-11,compute,us-east1,prod,platform,cost,62.976,7.682,0.798,117.314,85.005,1
finops-budget-079-00055,2026-02-24,project-22,cloud-run,global,dev,backend,security,17.484,4.232,0.434,12.187,32.961,0
finops-budget-079-00056,2026-02-25,project-04,cloud-run,us-central1,prod,data,security,49.595,3.627,0.535,188.106,71.978,1
finops-budget-079-00057,2026-02-26,project-23,pubsub,europe-west1,dev,backend,latency,72.488,5.45,0.665,95.625,75.308,1
finops-budget-079-00058,2026-02-27,project-03,cloud-run,europe-west1,staging,backend,reliability,17.411,12.975,0.446,97.518,66.2,0
finops-budget-079-00059,2026-02-28,project-09,cloud-run,europe-west1,prod,mlops,security,64.85,6.118,0.541,221.378,88.192,1
finops-budget-079-00060,2026-03-01,project-01,compute,global,dev,platform,cost,50.743,19.545,0.572,95.63,97.331,1
finops-budget-079-00061,2026-03-02,project-12,gke,us-east1,sandbox,backend,latency,74.526,10.293,0.746,0.0,76.211,0
finops-budget-079-00062,2026-03-03,project-21,cloud-sql,us-central1,staging,mlops,quality,38.766,10.122,0.507,138.749,75.165,1
finops-budget-079-00063,2026-03-04,project-22,cloud-run,asia-south1,dev,data,quality,47.636,18.36,0.3,81.562,81.907,1
finops-budget-079-00064,2026-03-05,project-04,cloud-sql,us-east1,staging,backend,quality,60.632,8.39,0.556,156.416,83.069,1
finops-budget-079-00065,2026-03-06,project-03,cloud-run,global,staging,mlops,cost,71.785,9.493,0.589,225.775,100,1
finops-budget-079-00066,2026-03-07,project-10,compute,asia-south1,dev,finops,security,58.251,10.103,0.687,128.558,86.755,1
finops-budget-079-00067,2026-03-08,project-13,cloud-sql,europe-west1,prod,security,quality,51.623,9.847,0.616,126.642,81.073,1
finops-budget-079-00068,2026-03-09,project-17,cloud-run,europe-west1,prod,data,reliability,78.545,15.792,0.721,79.466,100,1
finops-budget-079-00069,2026-03-10,project-05,cloud-run,us-east1,dev,platform,reliability,80.448,16.225,0.509,45.202,90.422,1
finops-budget-079-00070,2026-03-11,project-19,cloud-run,europe-west1,prod,data,reliability,90.222,11.468,0.62,208.413,100,1
finops-budget-079-00071,2026-03-12,project-06,bigquery,asia-south1,prod,platform,quality,97.138,4.541,0.744,100.12,85.235,1
finops-budget-079-00072,2026-03-13,project-23,gke,us-central1,prod,security,reliability,52.468,7.697,0.391,96.367,64.062,0
finops-budget-079-00073,2026-03-14,project-19,bigquery,asia-south1,dev,mlops,cost,37.005,17.903,0.653,92.566,91.08,1
finops-budget-079-00074,2026-03-15,project-22,cloud-run,europe-west1,prod,platform,reliability,20.691,13.64,0.481,115.52,72.75,0
finops-budget-079-00075,2026-03-16,project-10,cloud-sql,us-central1,dev,backend,latency,51.682,5.139,0.505,83.484,59.929,0
finops-budget-079-00076,2026-03-17,project-03,compute,global,dev,finops,reliability,37.63,5.912,0.119,72.853,41.755,0
finops-budget-079-00077,2026-03-18,project-10,bigquery,asia-south1,staging,mlops,quality,53.278,7.932,0.698,58.221,70.076,1
finops-budget-079-00078,2026-03-19,project-01,bigquery,europe-west1,dev,finops,cost,56.065,5.295,0.761,85.869,71.135,1
finops-budget-079-00079,2026-03-20,project-01,pubsub,europe-west1,prod,security,security,65.412,20.567,0.704,75.992,100,1
finops-budget-079-00080,2026-03-21,project-15,pubsub,us-east1,prod,security,reliability,67.566,8.105,0.565,132.997,81.73,1
finops-budget-079-00081,2026-03-22,project-21,bigquery,us-central1,dev,platform,latency,45.896,12.772,0.309,168.811,81.298,1
finops-budget-079-00082,2026-03-23,project-23,cloud-sql,us-central1,prod,data,reliability,68.136,9.872,0.357,141.791,80.055,1
finops-budget-079-00083,2026-03-24,project-19,compute,europe-west1,dev,security,reliability,50.687,13.616,0.707,133.561,93.734,1
finops-budget-079-00084,2026-03-25,project-12,cloud-sql,us-east1,dev,finops,reliability,53.873,8.95,0.663,150.519,84.895,1
finops-budget-079-00085,2026-03-26,project-24,bigquery,global,prod,data,security,85.104,5.325,0.708,136.515,86.9,1
finops-budget-079-00086,2026-03-27,project-21,pubsub,us-east1,staging,platform,reliability,37.675,6.614,0.431,58.736,52.27,0
finops-budget-079-00087,2026-03-28,project-01,gke,asia-south1,prod,finops,security,55.977,6.144,0.822,145.507,83.918,1
finops-budget-079-00088,2026-03-29,project-10,pubsub,global,dev,platform,reliability,40.18,5.064,0.69,118.336,67.286,0
finops-budget-079-00089,2026-03-30,project-19,pubsub,asia-south1,dev,platform,cost,90.812,20.099,0.788,57.544,100,1
finops-budget-079-00090,2026-03-31,project-04,vertex-ai,global,prod,mlops,security,81.619,15.646,0.664,113.113,100,1
finops-budget-079-00091,2026-04-01,project-08,compute,europe-west1,staging,platform,quality,29.327,11.654,0.615,104.695,74.25,1
finops-budget-079-00092,2026-04-02,project-03,bigquery,asia-south1,prod,platform,quality,25.857,3.753,0.281,170.871,52.561,0
finops-budget-079-00093,2026-04-03,project-18,vertex-ai,asia-south1,dev,platform,latency,27.88,13.62,0.595,122.465,80.222,1
finops-budget-079-00094,2026-04-04,project-07,pubsub,global,prod,security,cost,102.544,4.99,0.508,92.577,78.815,1
finops-budget-079-00095,2026-04-05,project-14,bigquery,us-central1,staging,finops,latency,47.192,13.088,0.851,95.478,90.765,1
finops-budget-079-00096,2026-04-06,project-03,gke,us-central1,prod,finops,security,58.76,27.984,0.334,113.907,100,1
finops-budget-079-00097,2026-04-07,project-10,gke,global,prod,finops,quality,75.968,10.413,0.63,73.043,83.588,1
finops-budget-079-00098,2026-04-08,project-16,vertex-ai,europe-west1,prod,backend,latency,103.923,13.834,0.386,7.928,83.319,1
finops-budget-079-00099,2026-04-09,project-07,bigquery,global,prod,finops,security,88.651,25.212,0.649,94.13,100,1
finops-budget-079-00100,2026-04-10,project-08,pubsub,us-central1,prod,data,security,74.213,5.185,0.038,173.987,64.776,1
finops-budget-079-00101,2026-04-11,project-19,cloud-run,europe-west1,prod,platform,cost,76.191,4.386,0.74,162.827,86.546,1
finops-budget-079-00102,2026-04-12,project-19,bigquery,global,prod,security,security,27.844,7.706,0.521,153.979,68.416,0
finops-budget-079-00103,2026-04-13,project-02,bigquery,asia-south1,prod,platform,security,83.839,7.65,0.516,177.602,91.154,1
finops-budget-079-00104,2026-04-14,project-21,vertex-ai,us-east1,staging,mlops,quality,19.802,12.522,0.31,80.475,58.735,0
finops-budget-079-00105,2026-04-15,project-11,gke,global,prod,data,security,74.15,6.936,0.389,115.467,72.59,1
finops-budget-079-00106,2026-04-16,project-15,bigquery,us-east1,sandbox,security,latency,25.491,17.351,0.625,100.701,85.968,1
finops-budget-079-00107,2026-04-17,project-16,vertex-ai,global,dev,backend,latency,52.204,8.464,0.576,76.866,69.39,1
finops-budget-079-00108,2026-04-18,project-14,gke,europe-west1,dev,mlops,quality,62.687,12.718,0.638,230.15,100,1
finops-budget-079-00109,2026-04-19,project-20,gke,global,dev,mlops,latency,49.355,9.133,0.684,0.41,62.584,0
finops-budget-079-00110,2026-04-20,project-21,pubsub,europe-west1,sandbox,platform,security,51.582,4.515,0.386,136.379,61.987,1
finops-budget-079-00111,2026-04-21,project-10,vertex-ai,us-central1,dev,finops,latency,27.284,3.737,0.745,190.377,72.107,0
finops-budget-079-00112,2026-04-22,project-20,compute,europe-west1,dev,finops,reliability,63.088,7.821,0.852,52.645,77.827,1
finops-budget-079-00113,2026-04-23,project-08,gke,asia-south1,prod,data,latency,28.528,3.897,0.113,157.13,45.948,0
finops-budget-079-00114,2026-04-24,project-17,cloud-sql,asia-south1,staging,security,cost,40.973,5.473,0.429,24.859,45.751,0
finops-budget-079-00115,2026-04-25,project-14,compute,us-central1,dev,finops,reliability,35.611,7.792,0.949,114.286,80.527,1
finops-budget-079-00116,2026-04-26,project-04,gke,us-central1,staging,mlops,reliability,58.014,10.282,0.799,204.513,100,1
finops-budget-079-00117,2026-04-27,project-17,bigquery,global,prod,mlops,cost,41.615,6.654,0.852,78.043,71.293,0
finops-budget-079-00118,2026-04-28,project-15,vertex-ai,us-central1,staging,data,latency,44.714,5.661,0.84,62.632,67.393,1
finops-budget-079-00119,2026-04-29,project-14,vertex-ai,us-east1,staging,platform,cost,39.77,10.352,0.862,99.415,82.742,1
finops-budget-079-00120,2026-04-30,project-10,pubsub,us-east1,prod,platform,latency,58.093,13.605,0.315,48.042,70.109,1
finops-budget-079-00121,2026-05-01,project-02,compute,europe-west1,dev,mlops,security,31.52,5.764,0.354,45.145,43.455,0
finops-budget-079-00122,2026-05-02,project-17,gke,europe-west1,prod,mlops,quality,72.293,4.361,0.447,156.54,73.952,1
finops-budget-079-00123,2026-05-03,project-03,gke,asia-south1,staging,finops,quality,37.116,7.259,0.46,200.564,75.277,1
finops-budget-079-00124,2026-05-04,project-13,vertex-ai,europe-west1,staging,platform,security,26.609,11.583,0.457,147.784,73.887,0
finops-budget-079-00125,2026-05-05,project-23,cloud-sql,asia-south1,prod,security,cost,72.419,7.333,0.569,37.737,67.875,0
finops-budget-079-00126,2026-05-06,project-07,cloud-sql,us-central1,prod,backend,security,52.879,14.688,0.839,102.163,97.043,1
finops-budget-079-00127,2026-05-07,project-14,vertex-ai,asia-south1,prod,platform,reliability,63.798,5.663,0.648,178.38,84.237,1
finops-budget-079-00128,2026-05-08,project-20,cloud-sql,europe-west1,sandbox,backend,cost,27.419,12.9,0.274,37.993,54.827,0
finops-budget-079-00129,2026-05-09,project-01,gke,global,staging,security,reliability,22.344,8.669,0.495,178.055,71.339,0
finops-budget-079-00130,2026-05-10,project-19,pubsub,us-central1,prod,data,reliability,69.092,7.398,0.834,114.263,87.298,1
finops-budget-079-00131,2026-05-11,project-08,bigquery,us-east1,prod,finops,latency,62.843,9.079,0.343,100.226,69.801,1
finops-budget-079-00132,2026-05-12,project-23,pubsub,global,staging,backend,security,34.158,4.664,0.64,22.604,48.534,0
finops-budget-079-00133,2026-05-13,project-18,vertex-ai,europe-west1,staging,mlops,quality,64.386,8.179,0.515,45.695,66.308,0
finops-budget-079-00134,2026-05-14,project-16,vertex-ai,us-east1,dev,mlops,reliability,67.05,5.122,0.208,82.502,54.73,0
finops-budget-079-00135,2026-05-15,project-07,bigquery,global,sandbox,data,reliability,35.857,6.267,0.832,135.889,76.11,1
finops-budget-079-00136,2026-05-16,project-01,compute,europe-west1,sandbox,security,latency,87.005,8.84,0.341,175.943,88.672,1
finops-budget-079-00137,2026-05-17,project-16,bigquery,global,dev,platform,security,34.945,6.038,0.432,184.753,68.383,1
finops-budget-079-00138,2026-05-18,project-15,compute,global,prod,mlops,quality,75.252,10.997,0.132,61.233,65.548,1
finops-budget-079-00139,2026-05-19,project-18,bigquery,us-central1,sandbox,platform,quality,61.952,7.658,0.622,85.318,73.764,1
finops-budget-079-00140,2026-05-20,project-11,vertex-ai,asia-south1,prod,backend,security,79.729,9.447,0.53,8.689,69.765,1
finops-budget-079-00141,2026-05-21,project-16,gke,asia-south1,sandbox,mlops,quality,27.311,8.708,0.251,131.288,57.809,1
finops-budget-079-00142,2026-05-22,project-22,compute,us-central1,dev,security,cost,40.386,10.893,0.277,66.639,58.965,0
finops-budget-079-00143,2026-05-23,project-13,bigquery,us-east1,prod,security,cost,62.118,7.511,0.368,141.654,72.805,0
finops-budget-079-00144,2026-05-24,project-24,bigquery,us-east1,prod,mlops,latency,41.435,10.761,0.298,75.477,61.048,0
finops-budget-079-00145,2026-05-25,project-06,vertex-ai,global,prod,security,reliability,53.394,9.732,0.664,121.555,82.363,1
finops-budget-079-00146,2026-05-26,project-14,cloud-run,us-east1,staging,data,security,57.768,7.909,0.439,75.122,64.993,1
finops-budget-079-00147,2026-05-27,project-13,compute,us-east1,staging,backend,reliability,37.937,4.205,0.516,11.684,42.854,0
finops-budget-079-00148,2026-05-28,project-02,pubsub,global,prod,finops,latency,38.631,11.278,0.84,100.612,83.909,1
finops-budget-079-00149,2026-05-29,project-03,bigquery,europe-west1,prod,platform,security,52.537,4.225,0.412,138.112,62.808,1
finops-budget-079-00150,2026-05-30,project-14,cloud-sql,us-east1,sandbox,backend,reliability,72.524,12.286,0.307,260.79,100,1
finops-budget-079-00151,2026-05-31,project-20,bigquery,us-east1,prod,finops,cost,27.376,12.258,0.478,126.737,73.396,1
finops-budget-079-00152,2026-06-01,project-07,vertex-ai,global,staging,data,security,48.913,9.547,0.601,195.126,88.887,1
finops-budget-079-00153,2026-06-02,project-12,vertex-ai,us-east1,prod,platform,security,65.217,6.588,0.736,191.376,91.867,1
finops-budget-079-00154,2026-06-03,project-24,bigquery,us-central1,dev,data,latency,44.923,14.713,0.339,13.888,63.944,0
finops-budget-079-00155,2026-06-04,project-11,cloud-run,global,prod,finops,reliability,57.814,18.424,0.626,96.196,99.163,1
finops-budget-079-00156,2026-06-05,project-23,bigquery,us-east1,sandbox,security,latency,11.294,8.051,0.7,158.23,70.314,0
finops-budget-079-00157,2026-06-06,project-14,gke,asia-south1,sandbox,data,reliability,26.361,7.985,0.634,163.149,73.841,1
finops-budget-079-00158,2026-06-07,project-05,compute,global,dev,finops,quality,21.332,7.467,0.672,96.646,62.503,0
finops-budget-079-00159,2026-06-08,project-02,pubsub,us-central1,staging,finops,security,70.064,3.89,0.583,72.903,64.636,1
finops-budget-079-00160,2026-06-09,project-18,pubsub,global,dev,data,latency,29.874,14.33,0.312,83.734,67.024,1
finops-budget-079-00161,2026-06-10,project-19,cloud-sql,us-central1,prod,mlops,cost,86.979,11.715,0.805,0.0,85.953,1
finops-budget-079-00162,2026-06-11,project-23,vertex-ai,us-east1,staging,mlops,reliability,67.771,11.966,0.437,123.948,85.011,1
finops-budget-079-00163,2026-06-12,project-03,pubsub,asia-south1,dev,finops,quality,42.555,5.793,0.491,36.143,50.867,0
finops-budget-079-00164,2026-06-13,project-23,vertex-ai,us-east1,sandbox,security,security,46.608,15.983,0.771,189.594,100,1
finops-budget-079-00165,2026-06-14,project-15,cloud-sql,us-east1,prod,mlops,reliability,52.265,16.895,0.494,162.674,98.728,1
finops-budget-079-00166,2026-06-15,project-20,bigquery,asia-south1,dev,platform,cost,14.809,9.424,0.68,66.596,60.684,0
finops-budget-079-00167,2026-06-16,project-07,gke,us-east1,prod,security,security,73.849,9.163,0.408,175.762,87.139,1
finops-budget-079-00168,2026-06-17,project-12,bigquery,asia-south1,prod,finops,latency,50.497,36.187,0.3,125.606,100,1
finops-budget-079-00169,2026-06-18,project-14,cloud-sql,europe-west1,prod,data,reliability,55.41,4.923,0.441,78.229,57.724,0
finops-budget-079-00170,2026-06-19,project-21,compute,global,prod,security,latency,70.855,14.906,0.471,127.634,94.678,1
finops-budget-079-00171,2026-06-20,project-10,bigquery,europe-west1,prod,finops,cost,73.333,8.794,0.0,36.964,51.576,0
finops-budget-079-00172,2026-06-21,project-11,gke,us-east1,prod,finops,reliability,59.321,14.753,0.714,156.863,100,1
finops-budget-079-00173,2026-06-22,project-15,compute,us-east1,prod,finops,latency,30.179,5.918,0.54,155.047,65.882,0
finops-budget-079-00174,2026-06-23,project-21,vertex-ai,asia-south1,dev,data,cost,76.492,8.813,0.463,11.166,65.169,1
finops-budget-079-00175,2026-06-24,project-07,bigquery,us-central1,staging,security,quality,13.641,11.401,0.393,192.302,73.176,0
finops-budget-079-00176,2026-06-25,project-20,pubsub,europe-west1,prod,data,quality,87.04,8.284,0.447,53.07,73.178,1
finops-budget-079-00177,2026-06-26,project-21,bigquery,global,staging,security,security,63.142,6.817,0.558,231.903,91.355,1
finops-budget-079-00178,2026-06-27,project-14,compute,asia-south1,sandbox,platform,security,52.005,14.117,0.348,85.406,75.776,1
finops-budget-079-00179,2026-06-28,project-14,vertex-ai,global,prod,finops,cost,70.95,20.845,0.68,97.746,100,1
finops-budget-079-00180,2026-06-29,project-24,bigquery,europe-west1,prod,security,reliability,73.238,6.939,0.703,141.954,87.131,1
finops-budget-079-00181,2026-01-01,project-20,cloud-run,asia-south1,prod,backend,cost,51.935,10.281,0.694,119.153,83.833,1
finops-budget-079-00182,2026-01-02,project-18,vertex-ai,global,prod,data,cost,64.28,5.084,0.356,125.352,65.101,1
finops-budget-079-00183,2026-01-03,project-04,vertex-ai,us-central1,dev,security,reliability,28.73,9.884,0.573,15.272,55.4,0
finops-budget-079-00184,2026-01-04,project-04,bigquery,us-east1,prod,finops,security,79.82,3.155,0.541,133.649,73.724,1
finops-budget-079-00185,2026-01-05,project-24,gke,asia-south1,prod,backend,security,58.183,6.178,0.549,176.598,79.748,1
finops-budget-079-00186,2026-01-06,project-04,vertex-ai,asia-south1,dev,data,cost,56.676,5.255,0.51,136.056,69.79,1
finops-budget-079-00187,2026-01-07,project-11,bigquery,europe-west1,staging,mlops,cost,49.287,5.975,0.895,115.932,79.424,1
finops-budget-079-00188,2026-01-08,project-18,cloud-sql,asia-south1,sandbox,data,security,68.767,11.998,0.776,123.9,97.293,1
finops-budget-079-00189,2026-01-09,project-21,compute,asia-south1,sandbox,security,quality,53.154,4.904,0.401,217.925,75.862,1
finops-budget-079-00190,2026-01-10,project-13,bigquery,us-east1,dev,security,latency,43.875,9.337,0.522,97.184,69.585,1
finops-budget-079-00191,2026-01-11,project-15,compute,us-central1,sandbox,mlops,security,11.715,4.541,0.537,155.825,56.215,0
finops-budget-079-00192,2026-01-12,project-18,cloud-sql,europe-west1,prod,backend,cost,59.781,3.907,0.871,28.551,64.688,0
finops-budget-079-00193,2026-01-13,project-24,gke,asia-south1,staging,backend,security,31.756,11.299,0.555,45.346,63.517,0
finops-budget-079-00194,2026-01-14,project-14,compute,global,prod,finops,reliability,76.291,8.573,0.621,80.538,80.186,1
finops-budget-079-00195,2026-01-15,project-10,vertex-ai,europe-west1,prod,security,quality,87.608,14.357,0.46,142.42,100,1
finops-budget-079-00196,2026-01-16,project-19,bigquery,us-central1,prod,platform,latency,51.597,11.239,0.342,157.336,79.198,1
finops-budget-079-00197,2026-01-17,project-19,pubsub,us-east1,dev,mlops,cost,50.009,7.389,0.481,177.979,77.534,1
finops-budget-079-00198,2026-01-18,project-09,cloud-run,europe-west1,staging,security,cost,27.259,12.455,0.473,66.045,64.789,0
finops-budget-079-00199,2026-01-19,project-13,bigquery,global,prod,platform,quality,55.932,4.092,0.535,191.414,75.764,1
finops-budget-079-00200,2026-01-20,project-10,bigquery,europe-west1,prod,mlops,cost,77.029,8.565,0.705,29.858,75.974,1
finops-budget-079-00201,2026-01-21,project-23,cloud-run,global,dev,data,quality,45.425,10.08,0.797,90.853,80.563,1
finops-budget-079-00202,2026-01-22,project-11,vertex-ai,asia-south1,staging,backend,latency,61.872,15.089,0.609,206.918,100,1
finops-budget-079-00203,2026-01-23,project-06,cloud-sql,us-east1,prod,finops,security,61.656,3.571,0.232,115.747,54.912,0
finops-budget-079-00204,2026-01-24,project-04,vertex-ai,asia-south1,prod,platform,cost,40.195,22.646,0.317,157.486,100,1
finops-budget-079-00205,2026-01-25,project-07,vertex-ai,us-central1,dev,backend,cost,51.023,9.166,0.326,253.645,87.645,1
finops-budget-079-00206,2026-01-26,project-05,pubsub,us-central1,sandbox,finops,latency,45.204,5.026,0.815,115.824,72.965,0
finops-budget-079-00207,2026-01-27,project-02,gke,europe-west1,dev,data,quality,20.509,12.134,0.416,218.923,81.977,1
finops-budget-079-00208,2026-01-28,project-07,cloud-sql,global,prod,mlops,reliability,61.665,8.798,0.476,134.64,78.406,1
finops-budget-079-00209,2026-01-29,project-04,vertex-ai,global,dev,backend,latency,47.336,10.922,0.419,78.102,68.107,0
finops-budget-079-00210,2026-01-30,project-23,cloud-sql,global,prod,finops,cost,54.213,8.89,0.663,105.812,78.354,1
finops-budget-079-00211,2026-01-31,project-05,cloud-run,asia-south1,prod,security,security,61.87,9.572,0.588,190.025,92.281,1
finops-budget-079-00212,2026-02-01,project-20,cloud-run,global,dev,finops,cost,52.415,16.639,0.348,86.894,82.022,1
finops-budget-079-00213,2026-02-02,project-10,pubsub,us-central1,dev,finops,latency,57.84,9.006,0.582,206.177,91.695,1
finops-budget-079-00214,2026-02-03,project-13,cloud-run,us-central1,staging,finops,quality,29.583,28.183,0.288,13.871,88.217,1
finops-budget-079-00215,2026-02-04,project-04,compute,us-east1,prod,finops,reliability,73.442,8.567,0.725,96.443,85.134,1
finops-budget-079-00216,2026-02-05,project-20,pubsub,us-central1,sandbox,platform,quality,64.498,10.607,0.424,48.087,69.177,1
finops-budget-079-00217,2026-02-06,project-08,cloud-sql,europe-west1,staging,security,security,26.718,12.091,0.311,142.702,69.259,0
finops-budget-079-00218,2026-02-07,project-18,pubsub,us-east1,staging,finops,cost,32.518,8.016,0.565,179.82,76.084,1
finops-budget-079-00219,2026-02-08,project-07,bigquery,global,staging,platform,quality,25.191,4.49,0.458,69.403,45.445,0
finops-budget-079-00220,2026-02-09,project-06,bigquery,us-east1,staging,backend,latency,54.862,7.179,0.448,132.615,70.972,1
