record_id,event_date,project_name,service_name,gcp_region,environment,owning_team,signal_category,metric_a,metric_b,metric_c,metric_d,risk_score,budget_breach
finops-budget-089-00036,2026-02-05,project-13,pubsub,europe-west1,prod,data,latency,53.566,5.522,0.395,184.097,72.305,1
finops-budget-089-00037,2026-02-06,project-19,compute,europe-west1,prod,backend,reliability,59.318,11.191,0.587,100.108,82.018,1
finops-budget-089-00038,2026-02-07,project-05,compute,europe-west1,dev,finops,cost,27.515,8.764,0.207,133.974,56.862,1
finops-budget-089-00039,2026-02-08,project-19,vertex-ai,global,sandbox,backend,latency,47.235,9.913,0.529,116.657,75.19,1
finops-budget-089-00040,2026-02-09,project-21,gke,global,sandbox,platform,latency,55.343,11.174,0.586,194.449,94.31,1
finops-budget-089-00041,2026-02-10,project-08,pubsub,europe-west1,prod,security,reliability,26.033,4.633,0.423,3.585,35.25,0
finops-budget-089-00042,2026-02-11,project-16,gke,europe-west1,prod,mlops,latency,41.866,7.413,0.625,190.564,81.616,1
finops-budget-089-00043,2026-02-12,project-12,cloud-sql,europe-west1,prod,finops,quality,45.797,10.116,0.474,74.501,67.088,1
finops-budget-089-00044,2026-02-13,project-17,cloud-run,us-central1,prod,finops,quality,67.638,7.059,0.235,217.866,80.141,1
finops-budget-089-00045,2026-02-14,project-11,cloud-sql,asia-south1,prod,backend,reliability,57.03,6.506,0.471,27.189,55.591,0
finops-budget-089-00046,2026-02-15,project-14,vertex-ai,asia-south1,dev,security,latency,24.476,6.054,0.13,142.593,48.037,0
finops-budget-089-00047,2026-02-16,project-23,gke,europe-west1,dev,backend,reliability,69.998,11.427,0.669,169.464,99.291,1
finops-budget-089-00048,2026-02-17,project-22,vertex-ai,us-central1,sandbox,finops,security,61.814,8.549,0.278,155.874,74.044,0
finops-budget-089-00049,2026-02-18,project-07,pubsub,asia-south1,prod,mlops,security,81.667,5.195,0.571,220.8,92.89,1
finops-budget-089-00050,2026-02-19,project-16,cloud-sql,us-central1,prod,data,quality,67.536,2.838,0.59,97.873,65.183,0
finops-budget-089-00051,2026-02-20,project-09,cloud-run,us-east1,sandbox,security,security,79.076,5.407,0.429,109.522,71.28,1
finops-budget-089-00052,2026-02-21,project-08,compute,europe-west1,staging,data,latency,24.79,5.776,0.44,163.707,61.428,0
finops-budget-089-00053,2026-02-22,project-13,vertex-ai,global,staging,backend,cost,46.59,3.482,0.453,98.341,54.628,0
finops-budget-089-00054,2026-02-23,project-06,cloud-sql,us-central1,staging,platform,reliability,47.877,10.572,0.406,61.162,64.554,0
finops-budget-089-00055,2026-02-24,project-21,compute,global,sandbox,security,cost,27.73,18.063,0.367,56.311,72.91,1
finops-budget-089-00056,2026-02-25,project-23,pubsub,global,dev,finops,latency,51.149,19.042,0.465,111.18,94.822,1
finops-budget-089-00057,2026-02-26,project-14,pubsub,global,prod,mlops,security,52.923,5.477,0.797,87.517,71.961,1
finops-budget-089-00058,2026-02-27,project-01,cloud-sql,us-central1,staging,platform,quality,47.843,8.981,0.391,217.007,83.033,1
finops-budget-089-00059,2026-02-28,project-05,pubsub,us-east1,prod,finops,reliability,62.002,10.551,0.278,34.942,61.145,0
finops-budget-089-00060,2026-03-01,project-12,cloud-sql,global,sandbox,data,latency,44.515,13.298,0.873,192.26,100,1
finops-budget-089-00061,2026-03-02,project-16,gke,us-central1,dev,data,quality,54.957,17.053,0.607,55.956,88.431,1
finops-budget-089-00062,2026-03-03,project-15,gke,asia-south1,prod,data,reliability,62.145,16.567,0.595,114.638,97.95,1
finops-budget-089-00063,2026-03-04,project-14,pubsub,asia-south1,prod,security,reliability,25.866,7.368,0.743,146.672,73.64,1
finops-budget-089-00064,2026-03-05,project-11,compute,global,prod,data,quality,47.767,8.363,0.8,153.718,86.649,1
finops-budget-089-00065,2026-03-06,project-19,compute,asia-south1,staging,mlops,cost,40.503,12.501,0.493,114.368,77.279,1
finops-budget-089-00066,2026-03-07,project-20,cloud-sql,europe-west1,sandbox,data,reliability,34.263,11.536,0.469,146.987,76.76,1
finops-budget-089-00067,2026-03-08,project-04,cloud-run,europe-west1,sandbox,backend,reliability,54.845,5.512,0.726,225.362,90.332,1
finops-budget-089-00068,2026-03-09,project-17,compute,us-east1,dev,finops,quality,55.712,5.988,0.503,102.217,65.983,1
finops-budget-089-00069,2026-03-10,project-07,bigquery,asia-south1,dev,finops,quality,29.489,9.428,0.576,18.937,55.241,0
finops-budget-089-00070,2026-03-11,project-05,vertex-ai,europe-west1,sandbox,finops,cost,14.464,8.547,0.347,222.676,69.624,1
finops-budget-089-00071,2026-03-12,project-14,vertex-ai,us-central1,staging,data,security,54.555,3.508,0.475,112.491,60.31,0
finops-budget-089-00072,2026-03-13,project-22,cloud-run,europe-west1,prod,mlops,cost,95.252,7.819,0.985,142.159,100,1
finops-budget-089-00073,2026-03-14,project-19,gke,asia-south1,prod,security,latency,66.317,7.446,0.564,49.687,67.571,1
finops-budget-089-00074,2026-03-15,project-14,compute,global,staging,security,quality,47.032,9.377,0.681,139.007,82.448,1
finops-budget-089-00075,2026-03-16,project-21,gke,global,sandbox,security,latency,30.278,6.233,0.47,77.806,52.938,0
finops-budget-089-00076,2026-03-17,project-04,bigquery,us-east1,prod,security,quality,55.617,9.178,0.678,169.013,89.259,1
finops-budget-089-00077,2026-03-18,project-04,pubsub,asia-south1,prod,platform,latency,98.38,12.859,0.519,120.146,100,1
finops-budget-089-00078,2026-03-19,project-10,compute,us-central1,dev,mlops,security,83.824,9.169,0.693,136.478,94.891,1
finops-budget-089-00079,2026-03-20,project-11,cloud-sql,asia-south1,sandbox,mlops,security,25.498,11.786,0.281,126.914,64.768,0
finops-budget-089-00080,2026-03-21,project-09,pubsub,us-east1,sandbox,mlops,latency,15.374,8.663,0.606,108.87,62.681,1
finops-budget-089-00081,2026-03-22,project-14,pubsub,us-east1,sandbox,platform,security,23.825,8.843,0.742,102.4,69.876,0
finops-budget-089-00082,2026-03-23,project-15,cloud-sql,us-central1,sandbox,security,cost,66.473,15.05,0.752,36.704,90.055,1
finops-budget-089-00083,2026-03-24,project-19,pubsub,europe-west1,prod,mlops,security,25.621,10.907,0.5,113.917,68.53,1
finops-budget-089-00084,2026-03-25,project-07,gke,europe-west1,prod,data,reliability,81.054,12.062,0.222,143.439,85.202,1
finops-budget-089-00085,2026-03-26,project-06,gke,europe-west1,staging,mlops,reliability,28.186,14.269,0.484,99.356,74.589,1
finops-budget-089-00086,2026-03-27,project-04,bigquery,global,dev,platform,latency,61.519,13.551,0.48,220.06,100,1
finops-budget-089-00087,2026-03-28,project-06,vertex-ai,us-east1,dev,security,reliability,50.85,12.448,0.753,101.95,88.066,1
finops-budget-089-00088,2026-03-29,project-04,bigquery,global,sandbox,backend,security,35.842,9.56,0.247,143.724,64.456,1
finops-budget-089-00089,2026-03-30,project-14,gke,asia-south1,dev,finops,security,50.984,7.142,0.457,11.651,52.203,0
finops-budget-089-00090,2026-03-31,project-04,cloud-run,asia-south1,prod,security,latency,57.141,8.689,0.33,93.134,65.406,1
finops-budget-089-00091,2026-04-01,project-19,cloud-sql,us-central1,staging,mlops,reliability,67.755,16.726,0.498,76.383,91.311,1
finops-budget-089-00092,2026-04-02,project-09,cloud-sql,us-central1,sandbox,security,security,36.38,11.794,0.576,186.003,87.538,1
finops-budget-089-00093,2026-04-03,project-24,vertex-ai,europe-west1,dev,platform,quality,40.892,10.568,0.347,51.033,58.558,0
finops-budget-089-00094,2026-04-04,project-07,bigquery,us-central1,prod,finops,reliability,74.731,20.004,0.457,105.857,100,1
finops-budget-089-00095,2026-04-05,project-18,bigquery,us-central1,sandbox,platform,quality,48.473,17.508,0.471,80.336,86.018,1
finops-budget-089-00096,2026-04-06,project-20,pubsub,europe-west1,prod,mlops,reliability,50.448,9.787,0.384,89.88,67.041,1
finops-budget-089-00097,2026-04-07,project-08,vertex-ai,global,sandbox,finops,reliability,55.141,14.719,0.73,112.125,95.545,1
finops-budget-089-00098,2026-04-08,project-04,compute,asia-south1,prod,security,quality,48.21,9.698,0.798,156.794,90.298,1
finops-budget-089-00099,2026-04-09,project-12,bigquery,us-central1,dev,mlops,quality,40.986,11.067,0.291,173.118,75.599,1
finops-budget-089-00100,2026-04-10,project-03,gke,us-east1,prod,finops,reliability,80.089,4.907,0.433,124.508,72.793,1
finops-budget-089-00101,2026-04-11,project-05,cloud-sql,us-east1,sandbox,mlops,security,61.898,7.933,0.419,119.993,72.339,0
finops-budget-089-00102,2026-04-12,project-15,cloud-run,us-east1,prod,finops,quality,31.352,11.141,0.61,113.47,74.867,1
finops-budget-089-00103,2026-04-13,project-09,pubsub,global,prod,finops,quality,54.177,9.71,0.166,119.464,64.85,0
finops-budget-089-00104,2026-04-14,project-21,vertex-ai,global,prod,finops,cost,94.607,8.639,0.727,123.58,96.737,1
finops-budget-089-00105,2026-04-15,project-04,cloud-run,us-east1,dev,security,quality,85.967,9.815,0.678,132.666,96.067,1
finops-budget-089-00106,2026-04-16,project-12,bigquery,us-east1,sandbox,platform,quality,58.381,22.288,0.453,192.423,100,1
finops-budget-089-00107,2026-04-17,project-19,vertex-ai,us-east1,sandbox,data,security,72.103,8.007,0.545,175.402,88.574,1
finops-budget-089-00108,2026-04-18,project-13,compute,global,prod,platform,security,24.477,8.211,0.765,128.889,73.297,1
finops-budget-089-00109,2026-04-19,project-08,cloud-sql,asia-south1,prod,mlops,cost,39.848,8.214,0.551,50.593,59.776,0
finops-budget-089-00110,2026-04-20,project-24,pubsub,asia-south1,prod,platform,quality,99.762,9.49,0.476,83.936,85.961,1
finops-budget-089-00111,2026-04-21,project-06,bigquery,us-central1,prod,mlops,cost,67.193,8.189,0.361,73.311,65.951,1
finops-budget-089-00112,2026-04-22,project-18,vertex-ai,us-central1,prod,security,quality,72.344,4.988,0.384,48.251,57.436,1
finops-budget-089-00113,2026-04-23,project-12,vertex-ai,asia-south1,prod,data,reliability,14.411,4.241,0.513,122.089,50.699,0
finops-budget-089-00114,2026-04-24,project-06,cloud-sql,us-central1,prod,platform,latency,75.669,7.95,0.548,60.775,73.077,1
finops-budget-089-00115,2026-04-25,project-21,compute,asia-south1,prod,backend,quality,54.977,9.274,0.61,145.387,83.434,1
finops-budget-089-00116,2026-04-26,project-18,bigquery,us-central1,staging,mlops,quality,64.624,10.785,0.663,223.377,100,1
finops-budget-089-00117,2026-04-27,project-18,vertex-ai,global,prod,mlops,reliability,59.183,4.767,0.703,211.19,87.241,1
finops-budget-089-00118,2026-04-28,project-04,pubsub,us-central1,prod,backend,security,29.694,12.624,0.366,193.171,80.83,1
finops-budget-089-00119,2026-04-29,project-02,bigquery,us-east1,prod,security,latency,105.33,7.481,0.434,110.822,85.673,1
finops-budget-089-00120,2026-04-30,project-20,compute,us-east1,prod,mlops,reliability,46.619,6.948,0.387,136.836,66.029,0
finops-budget-089-00121,2026-05-01,project-07,cloud-sql,us-east1,dev,backend,cost,15.659,6.972,0.544,221.921,73.152,1
finops-budget-089-00122,2026-05-02,project-20,bigquery,us-central1,prod,finops,cost,48.616,8.047,0.584,169.681,80.977,1
finops-budget-089-00123,2026-05-03,project-12,cloud-sql,asia-south1,dev,backend,reliability,54.412,12.265,0.673,119.524,88.648,1
finops-budget-089-00124,2026-05-04,project-08,pubsub,us-east1,sandbox,mlops,reliability,66.492,8.228,0.646,159.401,88.327,1
finops-budget-089-00125,2026-05-05,project-21,vertex-ai,global,prod,finops,latency,60.141,13.489,0.493,114.312,86.449,1
finops-budget-089-00126,2026-05-06,project-10,cloud-run,us-east1,sandbox,platform,reliability,85.981,11.462,0.759,88.429,96.299,1
finops-budget-089-00127,2026-05-07,project-03,cloud-sql,us-east1,prod,platform,cost,93.151,4.81,0.652,34.193,71.633,1
finops-budget-089-00128,2026-05-08,project-03,cloud-sql,us-east1,sandbox,backend,latency,56.174,10.026,0.376,180.737,82.572,1
finops-budget-089-00129,2026-05-09,project-14,pubsub,us-central1,prod,platform,latency,77.188,18.939,0.638,105.587,100,1
finops-budget-089-00130,2026-05-10,project-01,compute,europe-west1,prod,mlops,quality,65.94,7.556,0.404,164.368,78.82,1
finops-budget-089-00131,2026-05-11,project-06,compute,global,prod,mlops,cost,64.478,12.169,0.578,139.145,91.484,1
finops-budget-089-00132,2026-05-12,project-09,vertex-ai,us-east1,prod,platform,latency,70.728,19.584,0.683,204.353,100,1
finops-budget-089-00133,2026-05-13,project-10,pubsub,us-central1,dev,data,cost,10.393,8.609,0.398,93.447,51.283,0
finops-budget-089-00134,2026-05-14,project-19,bigquery,us-east1,prod,backend,latency,83.21,6.792,0.456,106.864,76.516,1
finops-budget-089-00135,2026-05-15,project-02,vertex-ai,asia-south1,prod,platform,reliability,90.823,21.794,0.237,161.321,100,1
finops-budget-089-00136,2026-05-16,project-03,gke,global,dev,security,latency,19.981,12.177,0.415,209.737,80.518,1
finops-budget-089-00137,2026-05-17,project-04,gke,global,prod,finops,quality,64.701,8.358,0.583,142.092,83.274,1
finops-budget-089-00138,2026-05-18,project-12,cloud-sql,global,dev,finops,quality,41.978,27.064,0.563,100.23,100,1
finops-budget-089-00139,2026-05-19,project-02,gke,us-east1,prod,finops,latency,72.134,4.874,0.642,168.82,83.709,1
finops-budget-089-00140,2026-05-20,project-11,pubsub,asia-south1,staging,security,reliability,66.377,12.461,0.753,127.009,97.185,1
finops-budget-089-00141,2026-05-21,project-07,bigquery,us-central1,staging,security,quality,40.481,13.039,0.54,46.998,70.347,0
finops-budget-089-00142,2026-05-22,project-16,bigquery,asia-south1,dev,finops,cost,4.159,12.366,0.768,204.382,86.995,1
finops-budget-089-00143,2026-05-23,project-09,bigquery,us-central1,prod,security,quality,95.083,8.827,0.318,91.724,78.382,1
finops-budget-089-00144,2026-05-24,project-24,compute,europe-west1,prod,data,security,65.164,7.833,0.707,88.008,78.664,1
finops-budget-089-00145,2026-05-25,project-05,compute,asia-south1,dev,backend,security,38.237,9.327,0.518,63.248,62.5,0
finops-budget-089-00146,2026-05-26,project-24,cloud-run,us-east1,dev,platform,security,43.732,4.952,0.706,137.697,71.652,1
finops-budget-089-00147,2026-05-27,project-19,pubsub,europe-west1,prod,data,cost,72.959,10.613,0.512,45.323,74.829,1
finops-budget-089-00148,2026-05-28,project-10,cloud-sql,us-east1,sandbox,security,cost,37.697,7.632,0.421,104.708,61.007,0
finops-budget-089-00149,2026-05-29,project-22,gke,asia-south1,dev,finops,quality,13.128,15.159,0.584,104.886,75.702,1
finops-budget-089-00150,2026-05-30,project-03,compute,asia-south1,dev,platform,quality,25.037,13.132,0.527,79.629,69.462,1
finops-budget-089-00151,2026-05-31,project-22,bigquery,asia-south1,staging,backend,quality,59.55,13.883,0.66,64.555,85.75,1
finops-budget-089-00152,2026-06-01,project-02,cloud-run,us-east1,prod,backend,security,57.813,8.437,0.518,121.509,75.771,1
finops-budget-089-00153,2026-06-02,project-17,gke,asia-south1,dev,security,quality,24.741,5.037,0.551,216.763,71.309,0
finops-budget-089-00154,2026-06-03,project-12,bigquery,asia-south1,dev,finops,quality,38.463,1.926,0.685,100.684,56.614,0
finops-budget-089-00155,2026-06-04,project-18,gke,asia-south1,dev,platform,latency,36.153,10.919,0.37,136.34,70.964,1
finops-budget-089-00156,2026-06-05,project-16,gke,global,dev,backend,quality,45.921,4.822,0.827,196.72,84.957,1
finops-budget-089-00157,2026-06-06,project-03,vertex-ai,us-east1,prod,mlops,cost,53.283,12.189,0.289,53.644,65.028,1
finops-budget-089-00158,2026-06-07,project-14,gke,global,dev,security,quality,58.73,7.023,0.548,76.385,67.262,1
finops-budget-089-00159,2026-06-08,project-16,cloud-run,global,prod,backend,cost,71.732,10.807,0.888,148.107,100,1
finops-budget-089-00160,2026-06-09,project-06,cloud-sql,us-central1,prod,security,reliability,81.902,9.639,0.342,83.596,75.318,1
finops-budget-089-00161,2026-06-10,project-13,gke,us-central1,dev,security,security,44.832,7.623,0.039,91.731,48.221,0
finops-budget-089-00162,2026-06-11,project-21,gke,europe-west1,sandbox,data,security,52.532,9.273,0.528,34.807,63.579,0
finops-budget-089-00163,2026-06-12,project-06,bigquery,global,prod,data,latency,60.574,9.301,0.639,216.231,96.802,1
finops-budget-089-00164,2026-06-13,project-15,pubsub,europe-west1,prod,backend,security,87.145,9.519,0.431,56.939,76.1,1
finops-budget-089-00165,2026-06-14,project-17,compute,us-east1,sandbox,mlops,reliability,45.68,15.085,0.707,40.821,81.884,1
finops-budget-089-00166,2026-06-15,project-09,bigquery,asia-south1,staging,backend,reliability,35.583,16.375,0.299,113.265,77.645,1
finops-budget-089-00167,2026-06-16,project-08,bigquery,europe-west1,prod,mlops,reliability,75.794,6.767,0.616,128.532,82.622,1
finops-budget-089-00168,2026-06-17,project-22,gke,us-central1,prod,backend,quality,58.883,10.075,0.564,0.0,63.857,1
finops-budget-089-00169,2026-06-18,project-07,vertex-ai,us-central1,prod,backend,security,60.404,13.078,0.592,47.788,79.346,1
finops-budget-089-00170,2026-06-19,project-15,pubsub,europe-west1,prod,mlops,cost,58.125,3.186,0.578,136.568,67.924,1
finops-budget-089-00171,2026-06-20,project-04,gke,global,staging,security,quality,16.498,14.545,0.804,89.522,80.908,1
finops-budget-089-00172,2026-06-21,project-15,pubsub,asia-south1,prod,backend,reliability,91.336,14.67,0.304,31.619,81.449,1
finops-budget-089-00173,2026-06-22,project-18,pubsub,europe-west1,prod,finops,cost,85.187,12.019,0.98,68.064,100,1
finops-budget-089-00174,2026-06-23,project-11,gke,us-east1,prod,mlops,quality,73.704,14.15,0.783,38.155,91.782,1
finops-budget-089-00175,2026-06-24,project-01,bigquery,asia-south1,dev,backend,security,48.82,3.038,0.911,101.69,70.89,1
finops-budget-089-00176,2026-06-25,project-01,gke,global,sandbox,platform,cost,39.139,8.617,0.441,172.784,74.438,1
finops-budget-089-00177,2026-06-26,project-01,compute,asia-south1,dev,finops,cost,49.641,8.503,0.491,204.113,84.166,1
finops-budget-089-00178,2026-06-27,project-09,cloud-run,europe-west1,prod,security,cost,73.186,16.598,0.539,86.903,95.882,1
finops-budget-089-00179,2026-06-28,project-22,vertex-ai,us-east1,prod,platform,reliability,32.216,9.503,0.387,236.393,81.468,1
finops-budget-089-00180,2026-06-29,project-13,cloud-run,asia-south1,dev,finops,reliability,48.461,9.205,0.591,40.58,65.043,1
finops-budget-089-00181,2026-01-01,project-16,bigquery,asia-south1,prod,data,security,69.321,6.991,0.523,51.996,66.462,0
finops-budget-089-00182,2026-01-02,project-20,vertex-ai,us-central1,sandbox,finops,reliability,25.997,3.694,0.349,107.974,45.679,0
finops-budget-089-00183,2026-01-03,project-16,compute,us-central1,dev,platform,security,65.894,7.723,0.505,25.592,62.49,1
finops-budget-089-00184,2026-01-04,project-05,bigquery,asia-south1,dev,platform,latency,32.082,6.989,0.704,83.544,64.36,0
finops-budget-089-00185,2026-01-05,project-13,cloud-run,asia-south1,staging,platform,reliability,52.382,4.388,0.827,142.995,78.371,1
finops-budget-089-00186,2026-01-06,project-03,cloud-sql,us-central1,sandbox,security,cost,39.465,5.199,0.686,94.075,63.673,0
finops-budget-089-00187,2026-01-07,project-24,cloud-sql,us-east1,dev,finops,quality,54.596,5.228,0.59,70.814,62.284,0
finops-budget-089-00188,2026-01-08,project-06,compute,us-east1,dev,security,quality,27.938,16.637,0.726,134.235,93.584,1
finops-budget-089-00189,2026-01-09,project-03,cloud-sql,us-east1,dev,platform,quality,42.426,8.234,0.483,111.005,67.155,0
finops-budget-089-00190,2026-01-10,project-20,cloud-sql,europe-west1,prod,mlops,security,56.846,12.07,0.577,204.301,98.048,1
finops-budget-089-00191,2026-01-11,project-08,gke,europe-west1,dev,data,reliability,23.419,7.339,0.666,125.575,66.944,0
finops-budget-089-00192,2026-01-12,project-07,cloud-sql,us-east1,dev,platform,security,22.944,20.017,0.819,63.305,92.634,1
finops-budget-089-00193,2026-01-13,project-06,cloud-run,us-east1,dev,platform,quality,53.661,6.547,0.545,150.675,75.106,0
finops-budget-089-00194,2026-01-14,project-10,cloud-run,us-central1,staging,platform,security,40.316,6.482,0.554,143.088,69.492,1
finops-budget-089-00195,2026-01-15,project-04,cloud-run,us-east1,prod,backend,reliability,48.65,12.559,0.306,160.117,80.392,1
finops-budget-089-00196,2026-01-16,project-15,gke,us-central1,dev,mlops,reliability,19.572,10.378,0.439,25.883,50.205,0
finops-budget-089-00197,2026-01-17,project-11,cloud-run,europe-west1,dev,finops,latency,25.161,16.232,0.748,118.967,90.21,1
finops-budget-089-00198,2026-01-18,project-18,cloud-run,global,prod,finops,security,47.999,10.164,0.421,114.073,71.886,1
finops-budget-089-00199,2026-01-19,project-19,cloud-sql,global,sandbox,backend,security,75.188,10.479,0.403,167.614,89.316,1
finops-budget-089-00200,2026-01-20,project-04,vertex-ai,us-central1,dev,data,latency,64.214,8.256,0.718,163.344,90.69,1
finops-budget-089-00201,2026-01-21,project-14,pubsub,global,dev,platform,quality,52.988,10.71,0.42,140.057,78.661,1
finops-budget-089-00202,2026-01-22,project-09,vertex-ai,us-central1,staging,backend,quality,77.797,9.073,0.44,45.753,70.472,1
finops-budget-089-00203,2026-01-23,project-10,cloud-run,us-central1,prod,platform,reliability,37.402,9.417,0.814,133.878,83.078,1
finops-budget-089-00204,2026-01-24,project-03,cloud-run,global,prod,platform,quality,84.739,6.181,1.019,124.27,97.869,1
finops-budget-089-00205,2026-01-25,project-10,cloud-sql,europe-west1,prod,platform,latency,73.582,9.438,0.754,57.799,82.595,1
finops-budget-089-00206,2026-01-26,project-08,gke,europe-west1,prod,data,quality,93.554,19.413,0.661,150.243,100,1
finops-budget-089-00207,2026-01-27,project-16,cloud-run,asia-south1,prod,finops,quality,63.4,6.257,0.749,66.937,72.766,1
finops-budget-089-00208,2026-01-28,project-12,pubsub,global,prod,finops,latency,70.812,14.182,0.614,121.058,97.02,1
finops-budget-089-00209,2026-01-29,project-24,cloud-sql,asia-south1,sandbox,data,reliability,49.484,10.016,0.438,183.036,82.713,1
finops-budget-089-00210,2026-01-30,project-16,cloud-sql,asia-south1,dev,backend,reliability,56.682,7.921,0.336,109.796,66.093,1
finops-budget-089-00211,2026-01-31,project-08,cloud-sql,europe-west1,dev,platform,cost,55.407,9.743,1.043,215.764,100,1
finops-budget-089-00212,2026-02-01,project-22,bigquery,us-east1,staging,mlops,security,50.411,15.33,0.412,51.009,75.273,1
finops-budget-089-00213,2026-02-02,project-22,pubsub,global,prod,backend,security,55.262,13.304,0.605,106.942,87.155,1
finops-budget-089-00214,2026-02-03,project-15,pubsub,global,dev,mlops,reliability,65.696,12.59,0.748,280.458,100,1
finops-budget-089-00215,2026-02-04,project-03,pubsub,us-central1,staging,data,latency,46.947,7.586,0.737,90.673,73.15,1
finops-budget-089-00216,2026-02-05,project-15,bigquery,global,dev,finops,security,43.037,10.461,0.453,4.484,55.981,0
finops-budget-089-00217,2026-02-06,project-23,gke,europe-west1,dev,security,cost,28.333,12.003,0.554,95.615,71.257,1
finops-budget-089-00218,2026-02-07,project-10,gke,us-east1,dev,backend,quality,64.775,12.452,0.627,0.0,73.671,1
finops-budget-089-00219,2026-02-08,project-16,compute,global,dev,backend,cost,63.767,14.527,0.828,168.73,100,1
finops-budget-089-00220,2026-02-09,project-15,pubsub,asia-south1,sandbox,security,latency,43.48,13.03,0.641,209.218,98.567,1
