record_id,event_date,project_name,service_name,gcp_region,environment,owning_team,signal_category,metric_a,metric_b,metric_c,metric_d,risk_score,pipeline_failed
devops-ci-086-00083,2026-03-24,project-09,compute,global,prod,security,security,54.623,11.523,0.724,120.168,88.87,1
devops-ci-086-00084,2026-03-25,project-12,bigquery,europe-west1,staging,security,security,48.283,8.859,0.829,107.613,82.279,1
devops-ci-086-00085,2026-03-26,project-08,bigquery,global,prod,finops,quality,70.427,9.027,0.76,157.521,95.284,1
devops-ci-086-00086,2026-03-27,project-05,gke,global,prod,mlops,cost,52.44,5.864,0.733,114.393,74.374,1
devops-ci-086-00087,2026-03-28,project-24,bigquery,us-central1,prod,platform,quality,102.168,7.312,0.341,139.124,85.044,1
devops-ci-086-00088,2026-03-29,project-16,bigquery,us-east1,dev,security,reliability,48.259,4.35,0.586,59.403,56.214,0
devops-ci-086-00089,2026-03-30,project-10,cloud-run,us-central1,prod,mlops,cost,95.767,9.876,0.603,142.464,98.443,1
devops-ci-086-00090,2026-03-31,project-23,cloud-run,us-east1,prod,platform,security,52.18,3.286,0.464,109.11,58.082,0
devops-ci-086-00091,2026-04-01,project-11,pubsub,us-east1,staging,mlops,quality,62.342,5.045,0.451,218.794,81.284,1
devops-ci-086-00092,2026-04-02,project-06,pubsub,us-central1,prod,backend,reliability,90.135,9.462,0.574,95.672,87.667,1
devops-ci-086-00093,2026-04-03,project-19,cloud-run,us-east1,dev,security,security,27.401,14.817,0.69,216.936,99.95,1
devops-ci-086-00094,2026-04-04,project-11,gke,global,staging,finops,latency,9.322,19.624,0.515,145.1,88.237,1
devops-ci-086-00095,2026-04-05,project-14,vertex-ai,global,staging,platform,reliability,38.094,12.793,0.468,70.744,69.88,1
devops-ci-086-00096,2026-04-06,project-10,cloud-run,asia-south1,prod,backend,cost,79.212,9.085,0.303,123.956,77.604,1
devops-ci-086-00097,2026-04-07,project-12,pubsub,us-central1,prod,data,cost,57.883,13.11,0.68,117.258,91.749,1
devops-ci-086-00098,2026-04-08,project-20,compute,us-central1,staging,platform,reliability,5.304,4.675,0.402,249.863,63.273,0
devops-ci-086-00099,2026-04-09,project-05,compute,global,prod,mlops,reliability,62.226,19.427,0.647,118.238,100,1
devops-ci-086-00100,2026-04-10,project-07,pubsub,us-central1,dev,security,latency,36.065,12.041,0.674,123.789,82.361,1
devops-ci-086-00101,2026-04-11,project-08,vertex-ai,asia-south1,prod,platform,cost,65.606,5.958,0.815,77.627,76.71,1
devops-ci-086-00102,2026-04-12,project-16,compute,global,staging,data,cost,49.996,12.149,0.92,209.92,100,1
devops-ci-086-00103,2026-04-13,project-19,bigquery,us-central1,sandbox,data,security,7.347,11.0,0.323,160.186,62.904,1
devops-ci-086-00104,2026-04-14,project-20,cloud-run,asia-south1,dev,finops,reliability,69.355,6.603,0.338,250.238,88.004,1
devops-ci-086-00105,2026-04-15,project-24,gke,us-east1,prod,platform,cost,88.167,6.672,0.46,97.238,76.707,1
devops-ci-086-00106,2026-04-16,project-12,cloud-sql,us-central1,prod,security,security,58.737,31.557,0.455,107.783,100,1
devops-ci-086-00107,2026-04-17,project-02,gke,us-central1,staging,data,reliability,57.066,7.03,0.313,21.12,50.411,0
devops-ci-086-00108,2026-04-18,project-21,compute,asia-south1,prod,platform,latency,78.918,13.53,0.514,96.244,91.217,1
devops-ci-086-00109,2026-04-19,project-03,pubsub,global,prod,platform,latency,60.416,10.25,0.612,137.521,86.537,1
devops-ci-086-00110,2026-04-20,project-23,pubsub,global,prod,data,latency,68.242,11.593,0.458,125.552,85.275,1
devops-ci-086-00111,2026-04-21,project-04,pubsub,global,prod,backend,reliability,72.929,10.891,0.486,88.135,80.801,1
devops-ci-086-00112,2026-04-22,project-14,cloud-run,us-central1,dev,mlops,quality,38.104,10.75,0.662,71.382,72.0,1
devops-ci-086-00113,2026-04-23,project-20,cloud-run,us-central1,dev,finops,security,38.917,4.677,0.48,33.896,46.277,0
devops-ci-086-00114,2026-04-24,project-15,bigquery,europe-west1,prod,backend,cost,33.619,4.066,0.723,219.955,78.636,1
devops-ci-086-00115,2026-04-25,project-02,cloud-sql,us-central1,staging,mlops,reliability,25.778,6.35,0.595,147.255,66.139,0
devops-ci-086-00116,2026-04-26,project-16,bigquery,us-east1,dev,data,cost,29.167,7.88,0.273,35.057,43.263,0
devops-ci-086-00117,2026-04-27,project-07,cloud-sql,asia-south1,dev,data,latency,56.123,9.775,0.617,146.562,85.42,1
devops-ci-086-00118,2026-04-28,project-23,cloud-sql,us-central1,sandbox,backend,cost,57.962,11.383,0.631,72.215,79.463,1
devops-ci-086-00119,2026-04-29,project-22,cloud-run,us-east1,staging,data,security,36.203,6.15,0.627,191.574,76.904,1
devops-ci-086-00120,2026-04-30,project-04,compute,asia-south1,prod,data,cost,80.211,8.104,0.664,160.428,93.619,1
devops-ci-086-00121,2026-05-01,project-18,gke,us-central1,staging,platform,reliability,71.723,6.696,0.902,99.951,86.873,1
devops-ci-086-00122,2026-05-02,project-14,compute,us-central1,dev,mlops,cost,62.019,6.705,0.679,128.603,79.871,1
devops-ci-086-00123,2026-05-03,project-17,bigquery,global,prod,mlops,cost,64.284,9.022,0.47,178.322,86.006,1
devops-ci-086-00124,2026-05-04,project-01,cloud-sql,us-east1,sandbox,security,quality,42.227,11.145,0.6,60.353,70.586,0
devops-ci-086-00125,2026-05-05,project-02,bigquery,europe-west1,sandbox,finops,quality,76.2,7.541,0.578,177.735,90.415,1
devops-ci-086-00126,2026-05-06,project-02,pubsub,global,dev,platform,quality,54.164,6.802,0.477,114.16,68.172,1
devops-ci-086-00127,2026-05-07,project-15,cloud-sql,europe-west1,staging,mlops,latency,75.226,10.404,0.602,148.008,93.26,1
devops-ci-086-00128,2026-05-08,project-20,cloud-run,asia-south1,sandbox,security,quality,62.912,10.313,0.637,10.607,69.925,1
devops-ci-086-00129,2026-05-09,project-02,gke,global,prod,platform,reliability,73.319,7.859,0.893,264.646,100,1
devops-ci-086-00130,2026-05-10,project-16,compute,us-central1,sandbox,finops,reliability,64.523,6.298,0.615,150.192,80.706,1
devops-ci-086-00131,2026-05-11,project-10,gke,us-east1,prod,mlops,reliability,100.472,8.504,0.515,90.26,86.196,1
devops-ci-086-00132,2026-05-12,project-18,bigquery,us-east1,staging,data,latency,32.033,10.908,0.509,86.747,67.129,0
devops-ci-086-00133,2026-05-13,project-05,compute,europe-west1,prod,finops,cost,64.232,10.085,0.223,19.385,56.645,0
devops-ci-086-00134,2026-05-14,project-07,compute,asia-south1,dev,mlops,security,42.395,11.256,0.757,7.748,68.727,0
devops-ci-086-00135,2026-05-15,project-16,gke,us-central1,dev,data,latency,22.99,4.391,0.517,94.882,50.224,0
devops-ci-086-00136,2026-05-16,project-09,cloud-sql,asia-south1,prod,security,reliability,58.062,2.852,0.588,142.686,68.365,1
devops-ci-086-00137,2026-05-17,project-11,pubsub,global,sandbox,finops,cost,41.18,7.695,0.879,103.434,78.217,1
devops-ci-086-00138,2026-05-18,project-01,compute,us-east1,dev,security,quality,14.898,10.419,0.205,86.796,49.358,0
devops-ci-086-00139,2026-05-19,project-18,cloud-run,global,staging,platform,reliability,62.396,10.761,0.688,103.549,86.128,1
devops-ci-086-00140,2026-05-20,project-21,pubsub,europe-west1,dev,finops,quality,43.509,7.031,0.697,228.96,89.419,1
devops-ci-086-00141,2026-05-21,project-18,compute,europe-west1,prod,security,reliability,52.852,8.871,0.442,161.874,78.274,1
devops-ci-086-00142,2026-05-22,project-04,vertex-ai,global,sandbox,finops,reliability,40.733,17.512,0.619,130.035,95.746,1
devops-ci-086-00143,2026-05-23,project-05,vertex-ai,us-central1,prod,data,latency,74.433,19.503,0.661,88.431,100,1
devops-ci-086-00144,2026-05-24,project-18,cloud-sql,us-east1,prod,platform,quality,57.288,5.744,0.179,242.029,75.014,1
devops-ci-086-00145,2026-05-25,project-16,cloud-sql,us-east1,prod,finops,security,64.986,15.874,0.286,161.212,93.305,1
devops-ci-086-00146,2026-05-26,project-06,pubsub,global,dev,platform,latency,55.245,5.418,0.667,85.971,67.86,0
devops-ci-086-00147,2026-05-27,project-19,cloud-sql,us-east1,dev,finops,latency,45.931,7.82,0.337,192.004,74.118,1
devops-ci-086-00148,2026-05-28,project-19,vertex-ai,asia-south1,prod,backend,quality,67.066,10.889,0.449,123.998,82.679,1
devops-ci-086-00149,2026-05-29,project-13,vertex-ai,europe-west1,dev,platform,security,59.618,8.798,0.892,127.251,91.172,1
devops-ci-086-00150,2026-05-30,project-06,cloud-sql,europe-west1,prod,data,security,57.822,7.731,0.466,129.86,73.525,0
devops-ci-086-00151,2026-05-31,project-13,compute,us-central1,prod,platform,quality,49.913,9.472,0.563,81.577,71.173,1
devops-ci-086-00152,2026-06-01,project-18,vertex-ai,us-east1,prod,data,quality,101.62,6.427,0.487,140.689,88.125,1
devops-ci-086-00153,2026-06-02,project-10,compute,europe-west1,staging,backend,quality,41.82,7.929,0.527,123.501,69.594,1
devops-ci-086-00154,2026-06-03,project-13,gke,global,sandbox,mlops,security,39.567,9.999,0.842,133.606,86.134,1
devops-ci-086-00155,2026-06-04,project-02,compute,asia-south1,dev,backend,latency,40.368,13.617,0.551,251.044,100,1
devops-ci-086-00156,2026-06-05,project-24,vertex-ai,global,prod,security,latency,53.075,6.712,0.547,144.154,74.405,1
devops-ci-086-00157,2026-06-06,project-19,cloud-sql,global,prod,data,quality,64.132,14.59,0.709,234.825,100,1
devops-ci-086-00158,2026-06-07,project-19,compute,us-east1,prod,mlops,reliability,64.533,12.843,0.673,108.145,91.88,1
devops-ci-086-00159,2026-06-08,project-08,pubsub,us-central1,dev,data,latency,0.0,9.184,0.665,140.902,65.253,0
devops-ci-086-00160,2026-06-09,project-23,pubsub,us-central1,prod,security,quality,64.952,13.565,0.6,91.276,88.696,1
devops-ci-086-00161,2026-06-10,project-23,compute,us-central1,sandbox,finops,latency,54.586,6.401,0.722,138.351,79.487,1
devops-ci-086-00162,2026-06-11,project-23,compute,us-central1,prod,backend,quality,91.072,8.941,0.631,66.85,84.571,1
devops-ci-086-00163,2026-06-12,project-16,cloud-run,europe-west1,prod,mlops,security,39.19,9.719,0.621,126.162,76.528,0
devops-ci-086-00164,2026-06-13,project-11,bigquery,asia-south1,prod,data,quality,60.403,10.855,0.707,128.145,89.902,1
devops-ci-086-00165,2026-06-14,project-21,pubsub,europe-west1,dev,backend,quality,23.964,6.924,0.536,138.943,63.566,1
devops-ci-086-00166,2026-06-15,project-03,gke,us-east1,sandbox,security,latency,21.678,9.507,0.922,103.925,77.196,1
devops-ci-086-00167,2026-06-16,project-20,cloud-sql,global,staging,data,reliability,21.487,9.283,0.438,178.322,70.516,1
devops-ci-086-00168,2026-06-17,project-18,compute,global,prod,backend,security,50.707,16.581,0.4,174.757,95.922,1
devops-ci-086-00169,2026-06-18,project-23,cloud-run,asia-south1,prod,security,reliability,86.532,3.674,0.617,71.906,70.94,1
devops-ci-086-00170,2026-06-19,project-18,bigquery,us-central1,staging,finops,quality,38.002,10.875,0.569,115.98,75.504,1
devops-ci-086-00171,2026-06-20,project-09,vertex-ai,europe-west1,dev,backend,quality,48.33,4.387,0.629,119.985,66.665,1
devops-ci-086-00172,2026-06-21,project-12,bigquery,europe-west1,prod,finops,security,62.548,7.432,0.639,187.656,88.965,1
devops-ci-086-00173,2026-06-22,project-11,gke,us-east1,dev,data,latency,39.351,6.894,0.163,178.627,61.614,0
devops-ci-086-00174,2026-06-23,project-17,bigquery,asia-south1,prod,security,reliability,109.227,16.492,0.325,54.929,96.096,1
devops-ci-086-00175,2026-06-24,project-24,cloud-run,us-east1,dev,backend,cost,36.617,6.071,0.316,11.911,39.779,0
devops-ci-086-00176,2026-06-25,project-06,pubsub,global,sandbox,finops,reliability,23.397,9.829,0.726,174.199,81.937,1
devops-ci-086-00177,2026-06-26,project-01,pubsub,asia-south1,prod,data,cost,61.491,7.617,0.647,104.054,77.114,1
devops-ci-086-00178,2026-06-27,project-24,bigquery,global,dev,platform,quality,45.107,7.693,0.666,58.213,65.537,0
devops-ci-086-00179,2026-06-28,project-04,bigquery,europe-west1,dev,security,cost,39.759,8.945,0.533,71.305,63.841,0
devops-ci-086-00180,2026-06-29,project-15,bigquery,us-central1,prod,backend,security,64.894,5.02,0.335,43.291,52.465,0
devops-ci-086-00181,2026-01-01,project-07,cloud-run,us-east1,staging,mlops,cost,49.288,5.961,0.549,79.201,61.925,0
devops-ci-086-00182,2026-01-02,project-06,vertex-ai,us-east1,dev,data,reliability,55.928,12.003,0.805,122.725,93.654,1
devops-ci-086-00183,2026-01-03,project-15,vertex-ai,us-east1,prod,mlops,cost,43.999,4.63,0.687,133.561,69.726,1
devops-ci-086-00184,2026-01-04,project-21,bigquery,us-central1,prod,mlops,cost,64.775,6.57,0.773,75.083,76.006,1
devops-ci-086-00185,2026-01-05,project-17,pubsub,asia-south1,prod,platform,reliability,51.48,11.246,0.672,148.637,89.455,1
devops-ci-086-00186,2026-01-06,project-24,pubsub,us-east1,dev,platform,security,50.264,8.351,0.859,184.274,94.016,1
devops-ci-086-00187,2026-01-07,project-06,gke,global,dev,data,reliability,103.23,11.218,0.866,182.035,100,1
devops-ci-086-00188,2026-01-08,project-01,compute,global,prod,data,latency,82.337,7.705,0.147,137.047,71.927,1
devops-ci-086-00189,2026-01-09,project-21,gke,us-east1,prod,finops,quality,21.726,6.806,0.998,92.819,71.951,1
devops-ci-086-00190,2026-01-10,project-02,gke,asia-south1,staging,data,latency,24.124,8.386,0.304,89.333,51.678,0
devops-ci-086-00191,2026-01-11,project-08,bigquery,global,prod,finops,reliability,85.837,16.564,0.435,111.15,100,1
devops-ci-086-00192,2026-01-12,project-18,cloud-run,asia-south1,staging,data,security,54.489,10.229,0.476,246.718,95.579,1
devops-ci-086-00193,2026-01-13,project-07,cloud-sql,us-east1,staging,mlops,security,54.242,4.634,0.466,72.745,56.716,0
devops-ci-086-00194,2026-01-14,project-10,compute,us-east1,dev,mlops,latency,40.826,36.686,0.532,175.442,100,1
devops-ci-086-00195,2026-01-15,project-19,gke,us-east1,dev,data,security,61.349,9.419,0.486,0.0,60.46,0
devops-ci-086-00196,2026-01-16,project-12,vertex-ai,us-east1,prod,backend,cost,56.594,17.713,0.33,249.397,100,1
devops-ci-086-00197,2026-01-17,project-09,cloud-sql,europe-west1,dev,backend,latency,43.193,7.017,0.699,109.212,71.882,1
devops-ci-086-00198,2026-01-18,project-15,cloud-sql,europe-west1,prod,mlops,latency,91.247,3.517,0.725,29.773,69.86,0
devops-ci-086-00199,2026-01-19,project-18,gke,asia-south1,dev,backend,security,45.18,15.837,0.78,169.32,100,1
devops-ci-086-00200,2026-01-20,project-21,cloud-run,europe-west1,prod,data,quality,69.896,6.241,0.208,66.911,56.064,0
devops-ci-086-00201,2026-01-21,project-05,gke,us-central1,prod,security,reliability,17.676,6.579,0.397,61.329,44.376,0
devops-ci-086-00202,2026-01-22,project-06,bigquery,us-east1,dev,finops,reliability,41.836,9.1,0.411,146.44,71.617,1
devops-ci-086-00203,2026-01-23,project-20,pubsub,us-east1,prod,data,cost,60.986,10.141,0.253,95.923,67.851,1
devops-ci-086-00204,2026-01-24,project-23,bigquery,global,dev,mlops,security,43.975,11.185,0.455,90.294,70.582,0
devops-ci-086-00205,2026-01-25,project-19,cloud-run,us-central1,dev,platform,security,42.148,4.933,0.758,132.009,72.043,1
devops-ci-086-00206,2026-01-26,project-18,gke,us-east1,staging,platform,latency,41.218,22.677,0.446,89.328,95.976,1
devops-ci-086-00207,2026-01-27,project-14,cloud-sql,asia-south1,staging,platform,reliability,39.702,14.153,0.572,204.415,96.75,1
devops-ci-086-00208,2026-01-28,project-23,pubsub,us-central1,sandbox,backend,reliability,65.2,10.222,0.843,149.566,97.988,1
devops-ci-086-00209,2026-01-29,project-02,cloud-sql,asia-south1,sandbox,platform,cost,25.37,2.311,0.495,64.241,40.965,0
devops-ci-086-00210,2026-01-30,project-08,cloud-sql,europe-west1,prod,security,cost,54.406,8.747,0.114,158.873,66.611,1
devops-ci-086-00211,2026-01-31,project-19,cloud-sql,europe-west1,prod,backend,security,71.088,8.099,0.383,111.498,73.444,1
devops-ci-086-00212,2026-02-01,project-13,vertex-ai,us-east1,prod,platform,security,77.541,7.53,0.237,0.0,53.004,0
devops-ci-086-00213,2026-02-02,project-10,compute,global,prod,security,cost,35.736,9.462,0.599,127.126,74.09,1
devops-ci-086-00214,2026-02-03,project-04,gke,us-central1,prod,backend,reliability,51.401,10.945,0.523,65.144,71.334,1
devops-ci-086-00215,2026-02-04,project-05,vertex-ai,asia-south1,dev,data,reliability,57.66,6.645,0.742,47.338,68.559,1
devops-ci-086-00216,2026-02-05,project-09,gke,global,prod,finops,quality,66.121,13.13,0.611,87.827,87.972,1
devops-ci-086-00217,2026-02-06,project-24,gke,us-east1,prod,platform,reliability,50.761,3.3,0.625,204.19,77.119,0
devops-ci-086-00218,2026-02-07,project-02,cloud-run,us-central1,dev,backend,security,42.765,9.946,0.838,71.576,77.943,1
devops-ci-086-00219,2026-02-08,project-23,compute,us-central1,staging,data,reliability,45.173,4.852,0.335,106.45,54.381,0
devops-ci-086-00220,2026-02-09,project-23,compute,asia-south1,dev,platform,security,63.94,12.268,0.457,84.073,79.26,1
devops-ci-086-00221,2026-02-10,project-04,compute,us-east1,staging,platform,latency,51.592,14.872,0.799,158.427,100,1
