evaluation_id,evaluation_timestamp,question_domain,prompt_template_version,model_name,retrieval_top_k,retrieved_context_count,context_relevance_score,groundedness_score,answer_similarity_score,citation_coverage_pct,response_latency_ms,input_tokens,output_tokens,estimated_cost_usd,hallucination_flag,evaluation_passed
rag-eval-000055,2026-01-01T09:54:00+00:00,bigquery,v2,openai-gpt-4o-mini,10,8,0.611,0.574,0.812,50.8,1327,935,693,0.00312,0,0
rag-eval-000056,2026-01-01T10:05:00+00:00,bigquery,v1,gemini-1.5-pro,10,9,0.615,0.804,0.917,71.66,1405,1257,510,0.00126,0,1
rag-eval-000057,2026-01-01T10:16:00+00:00,gke,v2,gemini-1.5-flash,3,1,0.85,1,0.746,100,1217,1116,554,0.00132,0,1
rag-eval-000058,2026-01-01T10:27:00+00:00,vertex-ai,v1,gemini-1.5-pro,10,9,0.635,0.611,0.683,64.15,1524,977,382,0.00068,0,0
rag-eval-000059,2026-01-01T10:38:00+00:00,vertex-ai,v3,gemini-1.5-flash,3,1,0.617,0.785,0.691,73.01,966,842,321,0.00186,0,1
rag-eval-000060,2026-01-01T10:49:00+00:00,security,v2,gemini-1.5-pro,10,9,0.949,1,1,100,1294,1161,721,0.00376,0,1
rag-eval-000061,2026-01-01T11:00:00+00:00,monitoring,v2,claude-haiku,10,9,0.322,0.462,0.544,43.78,1129,1742,732,0.00099,1,0
rag-eval-000062,2026-01-01T11:11:00+00:00,monitoring,v3,gemini-1.5-flash,8,6,1,1,0.816,90.62,1350,1327,664,0.00433,0,1
rag-eval-000063,2026-01-01T11:22:00+00:00,security,v1,openai-gpt-4o-mini,8,6,0.536,0.595,0.654,74.03,1216,978,726,0.00157,0,0
rag-eval-000064,2026-01-01T11:33:00+00:00,terraform,v1,openai-gpt-4o-mini,8,7,0.727,0.696,0.671,66.63,1488,983,530,0.00315,0,1
rag-eval-000065,2026-01-01T11:44:00+00:00,cloud-run,v2,openai-gpt-4o-mini,5,3,0.752,1,1,98.17,1035,1114,419,0.00418,0,1
rag-eval-000066,2026-01-01T11:55:00+00:00,security,v2,gemini-1.5-flash,10,9,0.652,0.618,0.68,75.21,1656,1470,528,0.00377,0,0
rag-eval-000067,2026-01-01T12:06:00+00:00,security,v1,gemini-1.5-pro,5,4,0.608,0.488,0.615,55.99,1231,970,493,0.00151,1,0
rag-eval-000068,2026-01-01T12:17:00+00:00,bigquery,v1,claude-haiku,5,3,1,1,1,100,904,980,700,0.00281,0,1
rag-eval-000069,2026-01-01T12:28:00+00:00,security,v3,gemini-1.5-pro,3,4,0.904,0.691,0.605,74.33,1182,308,136,0.00136,0,1
rag-eval-000070,2026-01-01T12:39:00+00:00,cloud-run,v1,gemini-1.5-flash,8,8,0.571,0.559,0.534,53.6,1406,1143,508,0.00085,0,0
rag-eval-000071,2026-01-01T12:50:00+00:00,vertex-ai,v2,openai-gpt-4o-mini,3,1,1,0.846,0.965,63.11,902,853,300,0.00286,0,1
rag-eval-000072,2026-01-01T13:01:00+00:00,bigquery,v1,gemini-1.5-pro,10,11,0.667,0.776,0.761,81.26,1524,1358,615,0.00079,0,1
rag-eval-000073,2026-01-01T13:12:00+00:00,terraform,v1,gemini-1.5-pro,3,1,0.516,0.48,0.484,30.98,1125,498,186,0.00247,1,0
rag-eval-000074,2026-01-01T13:23:00+00:00,cloud-run,v3,openai-gpt-4o-mini,5,4,0.393,0.013,0,11.61,1438,881,392,0.00264,1,0
rag-eval-000075,2026-01-01T13:34:00+00:00,monitoring,v2,gemini-1.5-flash,3,4,0.958,0.772,0.828,54.07,1077,422,179,0.00078,1,0
rag-eval-000076,2026-01-01T13:45:00+00:00,gke,v1,gemini-1.5-pro,5,4,0.751,0.614,0.66,73.5,941,1296,624,0.00662,0,0
rag-eval-000077,2026-01-01T13:56:00+00:00,cloud-run,v1,claude-haiku,5,1,0.702,0.83,0.819,84.31,1246,732,248,0.0017,0,1
rag-eval-000078,2026-01-01T14:07:00+00:00,bigquery,v3,claude-haiku,3,1,0.859,0.923,0.877,89.68,1050,412,176,0.00195,0,1
rag-eval-000079,2026-01-01T14:18:00+00:00,terraform,v2,claude-haiku,10,9,0.786,0.676,0.813,58.76,1655,1294,612,0.00137,0,1
rag-eval-000080,2026-01-01T14:29:00+00:00,terraform,v1,gemini-1.5-flash,10,7,0.513,0.479,0.52,29.16,1634,1469,459,0.0063,1,0
rag-eval-000081,2026-01-01T14:40:00+00:00,cloud-run,v1,gemini-1.5-flash,3,1,0.539,0.814,0.899,68.25,1194,1040,305,0.00321,0,1
rag-eval-000082,2026-01-01T14:51:00+00:00,terraform,v1,claude-haiku,5,5,0.677,0.571,0.5,68.55,1241,1006,503,0.00426,0,0
rag-eval-000083,2026-01-01T15:02:00+00:00,terraform,v2,gemini-1.5-flash,8,6,0.747,0.822,0.872,86.68,1122,912,510,0.0047,0,1
rag-eval-000084,2026-01-01T15:13:00+00:00,cloud-run,v3,gemini-1.5-pro,3,1,0.913,0.891,0.844,73.71,1048,514,297,0.00093,0,1
rag-eval-000085,2026-01-01T15:24:00+00:00,terraform,v1,gemini-1.5-flash,3,1,0.974,1,0.938,100,1237,837,280,0.0021,0,1
rag-eval-000086,2026-01-01T15:35:00+00:00,monitoring,v2,gemini-1.5-flash,8,5,0.733,0.632,0.478,60.42,944,1142,416,0.00333,0,0
rag-eval-000087,2026-01-01T15:46:00+00:00,monitoring,v2,gemini-1.5-pro,5,3,0.65,0.569,0.714,51.56,1157,870,277,0.00396,0,0
rag-eval-000088,2026-01-01T15:57:00+00:00,gke,v1,openai-gpt-4o-mini,3,1,0.623,0.606,0.697,50.01,966,710,449,0.00243,0,0
rag-eval-000089,2026-01-01T16:08:00+00:00,terraform,v2,gemini-1.5-pro,3,4,0.662,0.76,0.742,65.2,1382,876,365,0.00315,0,1
rag-eval-000090,2026-01-01T16:19:00+00:00,bigquery,v1,openai-gpt-4o-mini,10,10,0.783,0.889,0.747,99.32,1465,1505,491,0.00438,0,1
rag-eval-000091,2026-01-01T16:30:00+00:00,cloud-run,v2,gemini-1.5-flash,8,6,0.828,0.863,0.824,81.68,1665,1022,376,0.00469,0,1
rag-eval-000092,2026-01-01T16:41:00+00:00,cloud-run,v3,gemini-1.5-pro,5,3,0.932,0.927,0.96,100,1117,1284,575,0.00372,0,1
rag-eval-000093,2026-01-01T16:52:00+00:00,security,v1,gemini-1.5-flash,5,2,0.633,0.616,0.694,70.56,689,1064,536,0.00313,0,0
rag-eval-000094,2026-01-01T17:03:00+00:00,cloud-run,v1,gemini-1.5-pro,10,8,0.593,0.428,0.674,50.68,1314,1169,482,0.00286,1,0
rag-eval-000095,2026-01-01T17:14:00+00:00,bigquery,v2,claude-haiku,5,5,0.96,0.957,0.839,100,524,505,225,0.00274,0,1
rag-eval-000096,2026-01-01T17:25:00+00:00,vertex-ai,v2,openai-gpt-4o-mini,5,1,0.482,0.522,0.572,36.16,1379,982,494,0.00089,1,0
rag-eval-000097,2026-01-01T17:36:00+00:00,cloud-run,v2,openai-gpt-4o-mini,10,10,0.909,1,0.78,95.36,1299,1363,352,0.00554,0,1
rag-eval-000098,2026-01-01T17:47:00+00:00,bigquery,v1,gemini-1.5-flash,10,7,0.328,0.286,0.135,27.44,1882,1046,549,0.00341,1,0
rag-eval-000099,2026-01-01T17:58:00+00:00,monitoring,v3,openai-gpt-4o-mini,3,2,0.696,0.406,0.337,44.9,1154,507,269,0.00263,1,0
rag-eval-000100,2026-01-01T18:09:00+00:00,bigquery,v3,claude-haiku,10,8,0.622,0.473,0.567,80.3,1109,1387,473,0.00566,1,0
rag-eval-000101,2026-01-01T18:20:00+00:00,cloud-run,v2,claude-haiku,10,8,0.64,0.755,0.923,64.86,1308,923,493,0.00525,0,1
rag-eval-000102,2026-01-01T18:31:00+00:00,monitoring,v2,gemini-1.5-flash,8,7,0.372,0.561,0.463,57.67,1140,1449,719,0.00519,1,0
rag-eval-000103,2026-01-01T18:42:00+00:00,bigquery,v3,openai-gpt-4o-mini,8,7,0.761,0.873,0.786,83.11,1191,1120,445,0.00249,0,1
rag-eval-000104,2026-01-01T18:53:00+00:00,cloud-run,v3,openai-gpt-4o-mini,5,2,0.879,1,1,100,871,1253,446,0.00232,0,1
rag-eval-000105,2026-01-01T19:04:00+00:00,terraform,v2,claude-haiku,3,2,0.972,1,0.992,85.8,1264,705,494,0.00289,0,1
rag-eval-000106,2026-01-01T19:15:00+00:00,terraform,v3,openai-gpt-4o-mini,3,2,0.649,0.237,0.167,13.08,807,697,306,0.00085,1,0
rag-eval-000107,2026-01-01T19:26:00+00:00,terraform,v2,claude-haiku,8,5,0.271,0.289,0.235,61.66,1106,985,341,0.00418,1,0
rag-eval-000108,2026-01-01T19:37:00+00:00,security,v3,gemini-1.5-pro,8,7,0.597,0.521,0.722,48.77,1265,1076,604,0.0048,1,0
rag-eval-000109,2026-01-01T19:48:00+00:00,monitoring,v1,openai-gpt-4o-mini,5,5,0.723,0.753,0.913,94.47,840,952,332,0.00264,0,1
rag-eval-000110,2026-01-01T19:59:00+00:00,security,v1,gemini-1.5-flash,8,9,0.754,0.698,0.792,65.48,1620,1221,462,0.00157,0,1
rag-eval-000111,2026-01-01T20:10:00+00:00,security,v1,gemini-1.5-pro,8,6,0.62,0.682,0.618,64.34,1069,997,494,0.00226,0,1
rag-eval-000112,2026-01-01T20:21:00+00:00,gke,v2,gemini-1.5-flash,10,8,0.848,0.875,0.83,88.47,1449,1264,779,0.00102,0,1
rag-eval-000113,2026-01-01T20:32:00+00:00,cloud-run,v3,claude-haiku,5,4,0.514,0.57,0.688,39.97,1081,724,460,0.0033,0,0
rag-eval-000114,2026-01-01T20:43:00+00:00,bigquery,v3,gemini-1.5-pro,3,3,0.606,0.521,0.468,60.0,965,778,339,0.00418,1,0
rag-eval-000115,2026-01-01T20:54:00+00:00,terraform,v1,openai-gpt-4o-mini,3,1,0.759,0.972,1,95.4,1012,607,297,0.00372,1,0
rag-eval-000116,2026-01-01T21:05:00+00:00,cloud-run,v2,gemini-1.5-flash,3,1,0.804,0.716,0.689,47.91,1171,673,378,0.00356,0,1
rag-eval-000117,2026-01-01T21:16:00+00:00,vertex-ai,v1,claude-haiku,3,3,0.395,0.394,0.386,51.87,930,912,250,0.00022,1,0
rag-eval-000118,2026-01-01T21:27:00+00:00,vertex-ai,v2,openai-gpt-4o-mini,10,8,0.802,0.629,0.537,64.15,1460,1652,706,0.00627,0,0
rag-eval-000119,2026-01-01T21:38:00+00:00,bigquery,v1,claude-haiku,5,2,0.519,0.467,0.31,60.08,1088,1123,414,0.00203,1,0
rag-eval-000120,2026-01-01T21:49:00+00:00,gke,v3,gemini-1.5-pro,3,2,0.611,0.681,0.44,85.75,563,554,245,0.00068,0,1
rag-eval-000121,2026-01-01T22:00:00+00:00,terraform,v2,openai-gpt-4o-mini,10,10,0.715,0.519,0.505,61.64,1346,1118,679,0.00193,1,0
rag-eval-000122,2026-01-01T22:11:00+00:00,gke,v3,gemini-1.5-flash,5,5,0.259,0.224,0.387,4.62,1220,853,385,0.0013,1,0
rag-eval-000123,2026-01-01T22:22:00+00:00,monitoring,v3,gemini-1.5-pro,8,9,0.813,0.898,0.89,90.0,1329,1176,685,0.00323,0,1
rag-eval-000124,2026-01-01T22:33:00+00:00,terraform,v2,gemini-1.5-pro,10,9,0.84,0.976,0.794,85.15,1012,1342,679,0.00205,0,1
rag-eval-000125,2026-01-01T22:44:00+00:00,gke,v1,gemini-1.5-flash,5,4,0.816,0.967,0.95,84.56,1156,1092,367,0.00341,0,1
rag-eval-000126,2026-01-01T22:55:00+00:00,vertex-ai,v2,gemini-1.5-pro,10,7,0.92,1,1,99.27,1517,1325,709,0.00103,0,1
rag-eval-000127,2026-01-01T23:06:00+00:00,cloud-run,v1,claude-haiku,10,9,0.792,0.855,0.83,70.65,1182,972,350,0.00526,1,0
rag-eval-000128,2026-01-01T23:17:00+00:00,security,v1,gemini-1.5-flash,10,10,0.631,0.785,0.728,62.62,1338,1089,442,0.00057,0,1
rag-eval-000129,2026-01-01T23:28:00+00:00,vertex-ai,v1,gemini-1.5-pro,3,2,0.589,0.591,0.718,73.72,743,814,465,0.00222,0,0
rag-eval-000130,2026-01-01T23:39:00+00:00,security,v3,gemini-1.5-pro,5,4,0.811,0.936,1,100,1052,980,550,0.00139,0,1
rag-eval-000131,2026-01-01T23:50:00+00:00,monitoring,v2,gemini-1.5-pro,10,8,0.892,0.815,0.704,89.04,1653,1140,821,0.00606,0,1
rag-eval-000132,2026-01-02T00:01:00+00:00,monitoring,v1,claude-haiku,10,7,0.804,0.646,0.492,64.52,1545,1317,686,0.00478,0,0
rag-eval-000133,2026-01-02T00:12:00+00:00,vertex-ai,v3,claude-haiku,3,4,0.909,0.995,1,93.13,801,820,355,0.00152,0,1
rag-eval-000134,2026-01-02T00:23:00+00:00,cloud-run,v2,gemini-1.5-flash,8,10,0.495,0.243,0.236,6.04,1410,1386,622,0.00367,1,0
rag-eval-000135,2026-01-02T00:34:00+00:00,bigquery,v1,gemini-1.5-pro,5,6,0.645,0.603,0.379,68.55,1036,982,502,0.00274,0,0
rag-eval-000136,2026-01-02T00:45:00+00:00,cloud-run,v2,openai-gpt-4o-mini,10,9,0.965,0.956,0.951,100,1608,1980,870,0.00504,0,1
rag-eval-000137,2026-01-02T00:56:00+00:00,terraform,v2,gemini-1.5-pro,8,6,0.544,0.224,0.273,33.92,1565,1110,379,0.00428,1,0
rag-eval-000138,2026-01-02T01:07:00+00:00,bigquery,v1,gemini-1.5-flash,5,4,1,0.977,0.654,86.03,1268,1012,391,0.00457,1,0
rag-eval-000139,2026-01-02T01:18:00+00:00,security,v1,gemini-1.5-flash,5,4,0.937,1,0.96,87.63,1058,778,431,0.00193,0,1
rag-eval-000140,2026-01-02T01:29:00+00:00,cloud-run,v3,gemini-1.5-flash,5,3,0.725,0.515,0.573,51.44,1429,859,408,0.00415,1,0
rag-eval-000141,2026-01-02T01:40:00+00:00,bigquery,v2,gemini-1.5-pro,10,7,0.778,0.871,1,86.04,1570,1283,572,0.00609,0,1
rag-eval-000142,2026-01-02T01:51:00+00:00,monitoring,v1,claude-haiku,8,7,0.758,0.626,0.743,55.31,912,1129,559,0.00148,0,0
rag-eval-000143,2026-01-02T02:02:00+00:00,cloud-run,v1,openai-gpt-4o-mini,3,2,1,0.919,0.948,100,853,523,158,0.00165,0,1
rag-eval-000144,2026-01-02T02:13:00+00:00,terraform,v3,gemini-1.5-pro,5,4,0.688,0.714,0.581,72.28,877,1142,338,0.00082,0,1
rag-eval-000145,2026-01-02T02:24:00+00:00,vertex-ai,v3,gemini-1.5-flash,8,5,0.624,0.757,0.806,88.72,1004,1115,641,0.00488,0,1
rag-eval-000146,2026-01-02T02:35:00+00:00,bigquery,v2,gemini-1.5-pro,5,3,0.474,0.667,0.484,61.08,991,757,292,0.00206,1,0
rag-eval-000147,2026-01-02T02:46:00+00:00,gke,v2,openai-gpt-4o-mini,8,5,0.573,0.441,0.411,32.61,1246,1243,618,0.00705,1,0
rag-eval-000148,2026-01-02T02:57:00+00:00,security,v2,claude-haiku,3,1,0.618,0.623,0.608,57.72,1038,804,474,0.00043,0,0
rag-eval-000149,2026-01-02T03:08:00+00:00,bigquery,v3,gemini-1.5-pro,8,7,0.559,0.847,0.894,86.65,1327,1221,564,0.00543,0,1
rag-eval-000150,2026-01-02T03:19:00+00:00,terraform,v3,gemini-1.5-pro,10,8,0.553,0.821,0.693,75.67,1701,1470,799,0.00142,0,1
rag-eval-000151,2026-01-02T03:30:00+00:00,security,v2,gemini-1.5-pro,10,9,0.65,0.6,0.565,58.37,1595,1372,525,0.00612,0,0
rag-eval-000152,2026-01-02T03:41:00+00:00,cloud-run,v1,gemini-1.5-pro,8,7,0.295,0.32,0.367,27.34,1135,1228,618,0.00366,1,0
rag-eval-000153,2026-01-02T03:52:00+00:00,terraform,v1,gemini-1.5-pro,5,5,0.688,1,1,98.97,1214,876,531,0.00428,0,1
rag-eval-000154,2026-01-02T04:03:00+00:00,bigquery,v3,gemini-1.5-pro,8,7,0.829,1,1,100,1052,1350,671,0.00138,0,1
rag-eval-000155,2026-01-02T04:14:00+00:00,security,v2,openai-gpt-4o-mini,8,8,0.693,0.685,0.83,68.49,1381,1345,444,0.00172,0,1
rag-eval-000156,2026-01-02T04:25:00+00:00,security,v2,claude-haiku,10,10,0.815,0.938,0.92,77.26,1446,1162,510,0.00468,0,1
rag-eval-000157,2026-01-02T04:36:00+00:00,vertex-ai,v1,openai-gpt-4o-mini,3,2,1,1,1,100,1660,735,351,0.00444,0,1
rag-eval-000158,2026-01-02T04:47:00+00:00,vertex-ai,v3,gemini-1.5-pro,3,3,0.803,0.635,0.731,72.62,1182,654,280,0.00127,0,0
rag-eval-000159,2026-01-02T04:58:00+00:00,security,v2,claude-haiku,3,2,0.711,0.899,0.827,100,548,803,257,0.0002,0,1
rag-eval-000160,2026-01-02T05:09:00+00:00,gke,v2,gemini-1.5-flash,8,7,1,1,0.965,93.25,1342,1135,445,0.00674,0,1
rag-eval-000161,2026-01-02T05:20:00+00:00,gke,v2,gemini-1.5-flash,5,3,0.728,0.854,0.727,80.21,756,833,461,0.0028,0,1
rag-eval-000162,2026-01-02T05:31:00+00:00,terraform,v2,claude-haiku,10,8,0.389,0.402,0.298,27.81,1707,1586,530,0.00423,1,0
rag-eval-000163,2026-01-02T05:42:00+00:00,gke,v1,gemini-1.5-pro,10,8,0.948,0.816,0.703,76.19,1652,1124,430,0.00208,0,1
rag-eval-000164,2026-01-02T05:53:00+00:00,monitoring,v2,gemini-1.5-flash,8,6,0.966,0.74,0.582,85.58,1464,1017,608,0.00085,0,1
rag-eval-000165,2026-01-02T06:04:00+00:00,security,v3,openai-gpt-4o-mini,5,3,0.754,0.509,0.305,39.32,854,1052,418,0.00399,1,0
rag-eval-000166,2026-01-02T06:15:00+00:00,security,v1,claude-haiku,10,10,0.64,0.644,0.715,66.93,1335,1403,514,0.00151,0,0
rag-eval-000167,2026-01-02T06:26:00+00:00,gke,v2,gemini-1.5-pro,8,6,0.596,0.796,0.774,88.69,1116,1025,571,0.00428,0,1
rag-eval-000168,2026-01-02T06:37:00+00:00,bigquery,v3,openai-gpt-4o-mini,5,3,0.375,0.549,0.536,62.58,1165,1220,519,0.00355,1,0
rag-eval-000169,2026-01-02T06:48:00+00:00,terraform,v1,openai-gpt-4o-mini,10,7,0.849,0.905,1,88.2,982,896,428,0.00147,0,1
rag-eval-000170,2026-01-02T06:59:00+00:00,security,v1,claude-haiku,10,8,0.486,0.498,0.669,48.35,1241,1215,415,0.00476,1,0
rag-eval-000171,2026-01-02T07:10:00+00:00,terraform,v3,gemini-1.5-flash,3,1,0.976,0.951,1,100,1211,422,226,0.00126,0,1
rag-eval-000172,2026-01-02T07:21:00+00:00,security,v3,openai-gpt-4o-mini,8,7,0.876,0.69,0.685,76.75,1589,799,429,0.00204,0,1
